caseid2019,Duration,weight,weight_pop,xgh1,xd1i,DeviceType2,B2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5A,EF6A_a,EF6A_b,EF6A_c,EF6A_d,EF6A_e,EF6A_f,EF6A_g,EF7_a,EF7_b,CV1,CV2,CV2A,CV4_a,CV4_b,CV4_c,CV4_d,CV4_e,CV5,CV11,CV11A,CV8,CV12,CV12A,CV13A,CV13B,CV14,CV15,CV16_a,CV16_b,CV16_c,CV16_d,CV16_e,CV17,K5A,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,ppstaten,PPT01,PPT1317,PPT18OV,PPT25,PPT612,ppwork
1123,209,.9606,57633.191,"Own your home with a mortgage or a loan","Yes","WinPC","Doing okay","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Can't pay some bills","No","No","Water, gas, or electric bill","Phone or cable bill","No","No","No","Not at all confident","Not at all confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,62,"55-64","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Black, Non-Hispanic","Female","Yes",2,"A one-family house attached to one or more houses","$30,000 to $34,999","Divorced","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","md",0,0,2,0,0,"Not working retired"
1128,248,.57,34201.6853,"Own your home with a mortgage or a loan","No","iPhone","Doing okay","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Slightly confident","Slightly confident","Employed","None","1 to 2","No","No","No","No","No",,"About the right amount of precautions","Cause you to work more","Somewhat lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, both",43,"35-44","30-44","Professional or Doctorate degree","Bachelor's degree or higher","Hispanic","Male","Yes",8,"A one-family house detached from any other house","$150,000 to $174,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,1,6,0,1,"Working as a paid employee"
1130,209,.967,58022.2471,"Own your home free and clear (without a mortgage or loan)","Yes","AndroidPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,78,"75+","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",3,"A one-family house detached from any other house","$200,000 to $249,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","ga",0,0,3,0,0,"Not working retired"
1131,220,3.573,214380.474,"Neither own nor pay rent","No","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Moderately confident","Employed","None","20 or more","No","No","No","No","No",,"Not enough precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",31,"25-34","30-44","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","No",2,"A one-family house detached from any other house","$30,000 to $34,999","Never married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,2,0,0,"Working as a paid employee"
1136,341,.9751,58508.5716,"Pay rent","No","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","Some","1 to 2","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",24,"18-24","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",1,"A building with 2 or more apartments","$60,000 to $74,999","Never married","Metro","Northeast","Mid-Atlantic","Rented for cash","ny",0,0,1,0,0,"Working as a paid employee"
1140,163,.8564,51384.2083,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","No",,"Too many precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",61,"55-64","60+","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$150,000 to $174,999","Married","Metro","Midwest","West-North Central","Owned or being bought by you or someone in your household","ia",0,0,2,0,0,"Working as a paid employee"
1141,302,.5112,30672.6127,"Own your home free and clear (without a mortgage or loan)","Yes","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Temporarily laid off or furloughed",,,"Yes","No","No","Yes","No","Yes, employer expressed this is temporary but did not provide a return date","About the right amount of precautions",,"About the same",,,,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is higher than prior income",,73,"65-74","60+","Associate degree","Some college","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","Northeast","New England","Owned or being bought by you or someone in your household","ct",0,0,2,0,0,"Working as a paid employee"
1142,385,1.1147,66883.218,"Pay rent","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",27,"25-34","18-29","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Female","No",2,"A one-family house detached from any other house","$100,000 to $124,999","Never married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","wi",0,0,2,0,0,"Working as a paid employee"
1146,331,.6174,37044.3183,"Own your home free and clear (without a mortgage or loan)","Yes","AndroidTablet","Just getting by","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Can't pay some bills","No","No","No","No","No","No","Other bills","Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,73,"65-74","60+","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Non-Metro","South","South Atlantic","Owned or being bought by you or someone in your household","ga",0,0,2,0,0,"Not working retired"
1147,402,.5593,33560.2029,"Own your home with a mortgage or a loan","No","iPad","Finding it difficult to get by","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","By selling something","No","Can't pay some bills","No","No","No","No","No","No","Other bills","Slightly confident","Not at all confident","Not employed, but looking for a job",,,"Yes","No","No","Yes","No","Yes, employer expressed this is temporary but did not provide a return date","Not enough precautions",,"Much lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Received",,"Yes, cashed out",53,"45-54","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",1,"A one-family house detached from any other house","$15,000 to $19,999","Divorced","Metro","Midwest","West-North Central","Owned or being bought by you or someone in your household","ne",0,0,1,0,0,"Working self-employed"
1148,944,1.0219,61316.1054,"Own your home with a mortgage or a loan","No","AndroidPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","3 to 5","No","No","No","Yes","No",,"Not enough precautions","No effect on the amount you work at your job","Much lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",56,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Hispanic","Female","Yes",2,"A one-family house detached from any other house","$20,000 to $24,999","Widowed","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,2,0,0,"Working as a paid employee"
1149,134,.9785,58706.783,"Own your home with a mortgage or a loan","No","AndroidPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",27,"25-34","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$75,000 to $84,999","Never married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","pa",0,0,2,0,0,"Working as a paid employee"
1156,197,.8143,48856.193,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat lower",,,,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is lower than prior income",,60,"55-64","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",2,"A one-family house attached to one or more houses","$60,000 to $74,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Not working retired"
1158,135,1.2956,77738.4099,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,72,"65-74","60+","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$150,000 to $174,999","Married","Non-Metro","South","South Atlantic","Owned or being bought by you or someone in your household","nc",0,0,2,0,0,"Not working retired"
1161,134,.9185,55110.4368,"Own your home free and clear (without a mortgage or loan)","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",60,"55-64","60+","Associate degree","Some college","White, Non-Hispanic","Female","Yes",3,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,3,0,0,"Not working retired"
1162,105,.7253,43519.9725,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",59,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house attached to one or more houses","$250,000 or more","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,0,2,0,0,"Working as a paid employee"
1163,262,.5674,34041.5959,"Own your home with a mortgage or a loan","Yes","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,77,"75+","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,2,0,0,"Not working retired"
1174,196,1.3124,78742.7508,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Just getting by","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,74,"65-74","60+","9th grade","Less than high school","White, Non-Hispanic","Male","Yes",2,"A mobile home","$40,000 to $49,999","Married","Non-Metro","West","Pacific","Owned or being bought by you or someone in your household","or",0,0,2,0,0,"Not working retired"
1175,196,.8875,53247.7222,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,57,"55-64","45-59","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",3,"A one-family house detached from any other house","$85,000 to $99,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,3,0,0,"Not working retired"
1181,64194,1.0043,60257.5654,"Pay rent","No","AndroidPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",26,"25-34","18-29","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A building with 2 or more apartments","$60,000 to $74,999","Never married","Metro","West","Pacific","Rented for cash","wa",0,0,2,0,0,"Working as a paid employee"
1183,201,.6161,36966.4052,"Pay rent","Yes","WinPC","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat lower","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,73,"65-74","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A building with 2 or more apartments","$35,000 to $39,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","mi",0,0,2,0,0,"Not working retired"
1185,178,.5869,35216.3602,"Own your home with a mortgage or a loan","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","Some","1 to 2","No","No","No","Yes","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Applied for but not received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",43,"35-44","30-44","Masters degree","Bachelor's degree or higher","Hispanic","Male","Yes",4,"A one-family house detached from any other house","$85,000 to $99,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","wa",0,2,2,0,0,"Working as a paid employee"
1191,223,.6143,36860.1956,"Own your home with a mortgage or a loan","Yes","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,78,"75+","60+","Some college, no degree","Some college","Other, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$40,000 to $49,999","Divorced","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","de",0,0,1,0,0,"Not working retired"
1193,291,1.1976,71856.7572,"Own your home with a mortgage or a loan","No","WinPC","Just getting by","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","1 to 2","Yes","No","No","No","No","Yes, already returned to work for the same employer","About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,,"No","Applied for but not received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",62,"55-64","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Black, Non-Hispanic","Male","No",2,"A one-family house detached from any other house","$50,000 to $59,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","oh",0,0,2,0,0,"Working as a paid employee"
1195,252,.7421,44526.8379,"Own your home with a mortgage or a loan","No","Mac","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",63,"55-64","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",1,"A building with 2 or more apartments","$125,000 to $149,999","Never married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,1,0,0,"Working as a paid employee"
1201,484,1.2902,77412.1049,"Pay rent","No","iPhone","Doing okay","No","Put it on my credit card and pay it off over time","With the money currently in my checking/savings account or with cash","No","No","Using a payday loan, deposit advance, or overdraft","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Slightly confident","Not at all confident","Employed","All",,"No","No","No","No","Yes",,"About the right amount of precautions","Cause you to work less","About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, both",38,"35-44","30-44","Professional or Doctorate degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","South","South Atlantic","Rented for cash","md",0,0,1,0,0,"Working as a paid employee"
1203,147,.7781,46685.6889,"Own your home with a mortgage or a loan","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,60,"55-64","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",1,"A one-family house detached from any other house","Less than $5,000","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","nj",0,0,1,0,0,"Not working retired"
1206,165,.5138,30826.0108,"Own your home free and clear (without a mortgage or loan)","Yes","AndroidTablet","Finding it difficult to get by","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,38,"35-44","30-44","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","Less than $5,000","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,1,2,0,1,"Not working retired"
1211,229,.848,50877.5124,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"Yes","No","No","No","Yes","Yes, already returned to work for the same employer","About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",60,"55-64","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",3,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","Midwest","West-North Central","Owned or being bought by you or someone in your household","mn",0,0,3,0,0,"Working as a paid employee"
1215,172,.5558,33349.4592,"Own your home free and clear (without a mortgage or loan)","Yes","iPad","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat higher",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,79,"75+","60+","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",1,"A building with 2 or more apartments","$100,000 to $124,999","Never married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","oh",0,0,1,0,0,"Not working retired"
1216,414,.6411,38464.2309,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,87,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$25,000 to $29,999","Married","Non-Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","in",0,0,2,0,0,"Not working retired"
1220,156,.5907,35440.0255,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Refused","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,87,"75+","60+","Masters degree","Bachelor's degree or higher","Black, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","nc",0,0,2,0,0,"Working self-employed"
1221,120,.7253,43519.9725,"Own your home with a mortgage or a loan","No","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",58,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",3,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","Northeast","New England","Owned or being bought by you or someone in your household","ma",0,1,2,0,0,"Not working other"
1222,205,1.0873,65238.5161,"Pay rent","No","iPhone","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",38,"35-44","30-44","Associate degree","Some college","White, Non-Hispanic","Female","No",7,"A one-family house detached from any other house","$40,000 to $49,999","Married","Metro","South","West-South Central","Rented for cash","tx",0,3,2,1,1,"Not working other"
1225,139,1.5356,92132.4236,"Neither own nor pay rent","No","iPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","3 to 5","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, cashed out",28,"25-34","18-29","Bachelors degree","Bachelor's degree or higher","Black, Non-Hispanic","Female","No",3,"A one-family house detached from any other house","$200,000 to $249,999","Never married","Metro","South","East-South Central","Owned or being bought by you or someone in your household","tn",0,0,3,0,0,"Working as a paid employee"
1227,291,.7066,42392.8328,"Own your home free and clear (without a mortgage or loan)","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",60,"55-64","60+","Some college, no degree","Some college","Hispanic","Male","Yes",4,"A one-family house detached from any other house","$125,000 to $149,999","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,1,3,0,0,"Working as a paid employee"
1228,286,.5549,33292.8993,"Pay rent","No","WinPC","Finding it difficult to get by","No","No","No","No","By borrowing from a friend or family member","No","By selling something","I wouldn't be able to pay for the expense right now","Can't pay some bills","No","No","No","Phone or cable bill","No","No","Other bills","Not at all confident","Not at all confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","No, do not expect to return to the same employer","About the right amount of precautions",,"Much lower","No","Yes",,,"No","Yes","Did not apply for and did not receive","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive",,"No",32,"25-34","30-44","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A one-family house attached to one or more houses","$12,500 to $14,999","Never married","Metro","Midwest","East-North Central","Rented for cash","oh",0,1,1,0,0,"Not working looking for work"
