GP19A9,German,English,Unit
1414 24 890,"Negligees, Bademäntel und -jacken, Hausmäntel, Unterhemden, Slips u.a. Unterhosen, aus anderen Spinnstoffen","Negliges, bathrobes and jackets, house coats, undershirts, briefs and others underpants, from other spinning substances",St
1414 25 300,"Büstenhalter (auch Warenzusammenstellungen für den Einzelverkauf, bestehend aus Büstenhalter und einem Slip bzw. einer anderen Unterhose)","Bunding holder (also compilations for the retail sale, consisting of bra and a panties or other underpants)",St
1414 25 500,"Hüftgürtel, Miederhosen und Korseletts (einschl. Bodies mit verstellbaren Trägern)","Hip belt, bodice pants and Korseletts (including bodies with adjustable straps)",St
1414 25 700,"Hosenträger, Strumpfhalter, Strumpfbänder u.ä. Waren, Teile dafür","Heaf carrier, stocking holder, stocking tapes, etc. Goods, parts for it",EUR
1414 30 003,aus Baumwolle,made of cotton,St
1414 30 009,aus anderen Spinnstoffen,From other spins,St
1419 11 000,"Bekleidung und Bekleidungszubehör einschl. Unterhemden, Spielhöschen, Unterhosen, Strampelanzüge, Windeln, Handschuhe und Oberbekleidung aus Gewirken oder Gestricken, für Kleinkinder mit einer Körpergröße von 86 cm oder weniger","Clothing and clothing accessories including undershirts, play panties, underpants, ramps, diapers, gloves and outerwear from or knitted, for small children with a height of 86 cm or less",EUR
1419 12 100,"Trainingsanzüge (Hosen, Jacken)","Training suits (pants, jackets)",St
1419 12 300,"Skianzüge (Hosen, Jacken, Kombinationen)","Ski suits (pants, jackets, combinations)",St
1419 12 400,"Badeanzüge und Badehosen, für Männer oder Knaben","Bathing suits and swimming trunks, for men or boys",St
1419 12 500,"Badeanzüge, Bikinis, Slip-, Bikinihosen, für Frauen oder Mädchen","Bathing suits, bikinis, panties, bikini pants, for women or girls",St
1419 12 900,"Andere Bekleidung (z.B. Radfahrertrikots, Bodies mit Ärmeln)","Other clothing (e.g. cyclists, bodies with sleeves)",St
1419 13 000,"Fingerhandschuhe, Handschuhe ohne Fingerspitzen und Fausthandschuhe, aus Gewirken oder Gestricken","Finger gloves, gloves without fingertips and a mooring gloves, from chirping or knitted",Paar
1419 19 300,"Schals, Umschlagtücher, Halstücher, Kopftücher, Schleier u.ä. Waren","Scarves, wraps, neck towels, headscarves, veils, etc. Were",St
1419 19 600,"Anderes konfektioniertes Bekleidungszubehör, Teile für Bekleidung oder für Bekleidungszubehör, einschl. Krawatten, Schleifen (z.B. Querbinder) und Krawattenschals","Other assembled clothing accessories, parts for clothing or for clothing accessories, including ties, grinding (e.g. crossbinders) and tie scarves",EUR
1419 21 500,"Kleidung und Bekleidungszubehör einschl. Unterhemden, Spielhöschen, Unterhosen, Strampelanzügen, Handschuhen und Oberbekleidung, für Kleinkinder mit einer Körpergröße von 86 cm oder weniger (ohne Windeln u.ä.) (ohne solche aus Gewirken oder Gestricken)","Clothing and clothing accessories including undershirts, play panties, underpants, ramps, gloves and outerwear, for toddlers with a height of 86 cm or less (without diapers, etc.) (without those from or knitted or knitted)",EUR
1419 22 100,"Trainingsanzüge (Hosen, Jacken) u.a. Bekleidung (oh. Skianzüge), für Männer oder Knaben","Training suits (pants, jackets) etc. Clothing (oh. Ski suits), for men or boys",St
1419 22 200,"Trainingsanzüge (Hosen, Jacken) u.a. Bekleidung (oh. Skianzüge), für Frauen oder Mädchen","Training suits (pants, jackets) etc. Clothing (Oh. Ski suits), for women or girls",St
1419 22 300,"Skianzüge (Hosen, Jacken, Kombinationen)","Ski suits (pants, jackets, combinations)",St
1419 22 400,"Badeanzüge und Badehosen, für Männer oder Knaben","Bathing suits and swimming trunks, for men or boys",St
1419 22 500,"Badeanzüge, Bikinis, Slip-, Bikinihosen, für Frauen oder Mädchen","Bathing suits, bikinis, panties, bikini pants, for women or girls",St
1419 23 100,Taschentücher und Ziertaschentücher,Handkerchiefs and decorative handkerchiefs,St
1419 23 330,"aus anderen Spinnstoffen (einschl. aus Wolle oder feinen Tierhaaren; ohne solche aus Seide, Schappe- oder Bouretteseide)","from other spinning fabrics (including wool or fine animal hair; without such from silk, spherical or boouret theat))",St
1419 23 380,"aus Seide, Schappe- oder Bourretteseide","made of silk, pappeal or bour rettes",St
1419 23 530,"aus anderen Spinnstoffen (einschl. Chemiefasern; ohne solche aus Seide, Schappe- oder Bouretteseide)","From other spinning fabrics (including chemical fibers; without those made of silk, shave or bourette theat)",St
1419 23 580,"aus Seide, Schappe- oder Bourretteseide","made of silk, pappeal or bour rettes",St
1419 23 700,"Fingerhandschuhe, Handschuhe ohne Fingerspitzen und Fausthandschuhe","Finger gloves, gloves without fingertips and a rule of thumb",Paar
1419 23 960,Anderes konfektioniertes Bekleidungszubehör aus Spinnstoffen; Teile für Bekleidung oder für Bekleidungszubehör aus Spinnstoffen,Other assembled clothing accessories made of spinning fabrics; Parts for clothing or for clothing accessories made of spinning substances,EUR
1419 31 750,"Fingerhandschuhe, Handschuhe ohne Fingerspitzen und Fausthandschuhe (ohne Sport- und Schutzhandschuhe)","Finger gloves, gloves without fingertips and a rule of thumb (without sports and protective gloves)",Paar
1419 31 800,"Gürtel, Koppel und Schulterriemen","Belt, coupling and shoulder strap",St
1419 31 900,Anderes Bekleidungszubehör,Other clothing accessories,EUR
1419 32 000,"Bekleidung aus Filz oder Vliesstoffen; Bekleidung aus Spinnstoffen (auch aus Gewirken oder Gestricken), getränkt oder überzogen","Clothing made of felt or non -woven fabrics; Clothing made of spinning fabrics (also from certain or knitted), soaked or covered",St
1419 41 300,"Hutstumpen, weder geformt noch randgeformt, aus Filz, sowie Hutplatten, Bandeaux ""auch aufgeschnitten"", aus Filz, zum Herstellen von Hüten","Hut -shaped, neither shaped nor shaped, made of felt, as well as hat slabs, bandeaux ""also cut"", from felt, for the production of hats",St
1419 41 500,"Hutstumpen oder Hutrohlinge, geflochten oder durch Verbindung von Streifen aus Stoffen aller Art hergestellt, weder geformt noch randgeformt noch ausgestattet","Hutic pumps or hut blade, braided or connected by stripes made of fabrics of all kinds, neither shaped nor shaped or equipped",St
1419 42 300,"aus Filz, aus Hutstumpen oder Hutplatten aus Filz hergestellt, auch ausgestattet","Made of felt, made of stumps or hat panels made of felt, also equipped",St
1419 42 500,"geflochten oder durch Verbindung von Streifen aus Stoffen aller Art hergestellt, auch ausgestattet","braided or connected by fabrics of all kinds by connecting stripes, also equipped",St
1419 42 700,"gewirkt oder gestrickt oder aus Stücken (ohne solche aus Streifen) von Spitzen, Filz oder anderen Spinnstofferzeugnissen hergestellt, auch ausgestattet; Haarnetze, aus Stoffen aller Art, auch ausgestattet","Occursed or knitted or made of pieces (without such from stripes) of tips, felt or other spinning products made, also equipped; Hair nets, from all kinds of fabrics, also equipped",St
1419 43 000,"Andere Kopfbedeckungen (ohne Sicherheitskopfbedeckungen und ohne solche aus Kautschuk oder Kunststoff); Bänder, Innenfutter, Bezüge, Gestelle, Schirme und Kinnbänder, für Kopfbedeckungen","Other headgear (without safety head cover and without those made of rubber or plastic); Bands, inner lining, covers, frames, umbrellas and chin bands, for headgear",EUR
1420 10 300,Bekleidung und Bekleidungszubehör aus Pelzfellen,Clothing and clothing accessories from fur skins,EUR
1420 10 900,Andere Waren aus Pelzfellen,Other goods from fur skins,EUR
1431 10 330,"aus synthetischen Chemiefasern, mit einem Titer der einfachen Garne von weniger als 67 dtex","From synthetic chemical fibers, with a titer of the simple yarn of less than 67 dtex",St
1431 10 350,"aus synthetischen Chemiefasern, mit einem Titer der einfachen Garne von 67 dtex oder mehr","From synthetic chemical fibers, with a titer of the simple yarn of 67 dtex or more",St
1431 10 370,aus anderen Spinnstoffen,From other spins,St
1431 10 500,Damenstrümpfe (einschl. Kniestrümpfen) mit einem Titer der einfachen Garne von weniger als 67 dtex,Women's stockings (including knee socks) with a titer of the simple yarns of less than 67 dtex,Paar
1431 10 902,Herrenstrümpfe und Socken,Men's stockings and socks,Paar
1431 10 906,Kinderstrümpfe und Socken,Children's stockings and socks,Paar
1431 10 909,Andere Strumpfwaren (z.B. Krampfaderstrümpfe) aus synthetischen Chemiefasern,Other tights (e.g. varicose vein stockings) made of synthetic chemical fibers,Paar
1439 10 310,für Männer oder Knaben,for men or boys,St
1439 10 320,für Frauen oder Mädchen,For women or girls,St
1439 10 330,Pullover mit einem Anteil an Wolle von 50 GHT oder mehr und mit einem Stückgewicht von 600 g oder mehr,Sweater with a share of wool of 50 GHT or more and with a piece weight of 600 g or more,St
1439 10 530,aus Baumwolle,made of cotton,St
1439 10 550,aus Chemiefasern,From chemical fibers,St
1439 10 610,für Männer oder Knaben,for men or boys,St
1439 10 620,für Frauen oder Mädchen,For women or girls,St
1439 10 710,für Männer oder Knaben,for men or boys,St
1439 10 720,für Frauen oder Mädchen,For women or girls,St
1439 10 900,"Pullover, Strickjacken, Westen u.ä. Waren aus anderen Spinnstoffen","Sweater, knitted jackets, west and the like. Goods from other spins",St
1499 99 000,Veredlung von Erzeugnissen dieser Güterabteilung (ohne Bekleidung aus textilen Stoffen),Refinement of products of this goods department (without clothing from textile fabrics),EUR
1511 10 300,"Ganze Pelzfelle, auch oh. Kopf, Schwanz od. Klauen, n. zusammengesetzt, v. Kaninchen, Hasen od. Astrachan-, Karakul-, Persianer-, Breitschwanz- u.ä. Lämmern, v. indischen, chinesischen, mongolischen od. tibetanischen Lämmern sowie and. Schafen u. Lämmern","Whole fur skins, also oh. Head, tail or claws, n. Rabbits, rabbits or astrachan, Karakul-, Persian, Breitschwanz- and the like. Lämmen, v. Indian, Chinese, Mongolian or Tibetan lambs as well as and. Schafen u. Lambs",St
1511 10 500,"Andere Pelzfelle (einschl. Köpfen, Schwänzen, Klauen u.a. Teilen, Abfällen und Überresten), auch zusammengesetzt","Other fur skins (including heads, tails, claws, etc. share, waste and remnants), also composed",EUR
1511 21 000,Sämischleder (einschl. Neusämischleder),Sämisch leather (including neusemic leather),m2
1511 22 000,Lackleder und folienkaschierte Leder; metallisierte Leder,Paint leather and foil -laminated leather; metallized leather,m2
1511 31 000,"Rind- und Kalbleder, enthaart, aus ganzen Häuten","Cattle and calf leather, depilated, out of entire skin",kg
1511 32 001,für Möbel oder Kraftfahrzeuge,For furniture or motor vehicles,kg
1511 32 009,"Andere Rind- und Kalbleder, enthaart, nicht aus ganzen Häuten","Other beef and calf leather, depilated, not out of entire skins",kg
1511 33 000,"Rossleder und Leder von anderen Einhufern, enthaart","Ross leather and leather from other units, depilated",kg
1511 41 300,"nur gegerbt, nicht zugerichtet, auch gespalten","only tanned, not prepared, also split",kg
1511 41 500,nach dem Gerben zugerichtet; Pergament- oder Rohhautleder,prepared after the tanner; Pergament or raw skin leather,m2
1511 42 300,"nur gegerbt, nicht zugerichtet, auch gespalten","only tanned, not prepared, also split",kg
1511 42 500,nach dem Gerben zugerichtet; Pergament- oder Rohhautleder,prepared after the tanner; Pergament or raw skin leather,m2
1511 43 300,"nur gegerbt, nicht zugerichtet, auch gespalten","only tanned, not prepared, also split",kg
1511 43 500,nach dem Gerben zugerichtet; Pergament- oder Rohhautleder,prepared after the tanner; Pergament or raw skin leather,m2
1511 51 000,"Leder von Kriechtieren u.a. Tieren, enthaart","Leather from creeping animals, among other things, depilated",kg
1511 52 000,"Rekonstituiertes Leder auf der Grundlage von Leder oder Lederfasern hergestellt, in Platten, Blättern oder Streifen, auch in Rollen","Reconstituted leather made on the basis of leather or leather fibers, in plates, leaves or stripes, also in rolls",m2
1512 11 100,"Sattlerwaren für alle Tiere (einschl. Reitpeitschen und Reitgerten sowie Zubehör dafür, Zugtauen, Leinen, Kniekappen, Maulkörben, Satteldecken, Satteltaschen, Hundedecken u.dgl.), aus Stoffen aller Art","Saddler goods for all animals (including riding whips and riding crops as well as accessories, tensile thawing, linen, linen, knee caps, muzzles, saddle ceilings, saddlebags, dog coverings, etc.), from fabrics of all kinds",EUR
1512 12 103,aus Leder oder rekonstituiertem Leder,made of leather or reconstituted leather,St
1512 12 105,aus textilen Geweben o.a. Material,From textile tissues or similar material,St
1512 12 200,"Handtaschen, auch mit Schulterriemen (einschl. solcher ohne Handgriffe)","Handbags, also with shoulder straps (including such without handles)",St
1512 12 300,Kleinlederwaren (Taschen- oder Handtaschenartikel),Small leather goods (pocket or handbag items),EUR
1512 12 500,"Reisetaschen, Toilettentaschen, Rucksäcke, Taschen für Sportartikel, Behältnisse für Musikinstrumente u.a. Behältnisse","Travel bags, toilet bags, backpacks, bags for sporting goods, containers for musical instruments, etc.",EUR
1512 12 700,"Zusammenstellungen für die Reise (Nécessaires) von Waren zur Körperpflege, zum Nähen oder Reinigen von Schuhen oder Bekleidung","Compilations for the trip (Nécessaires) of goods for body care, for sewing or cleaning shoes or clothing",St
1512 13 000,Uhrarmbänder und Teile dafür (ohne solche aus Metallen),Watch bracelets and parts for it (without such from metals),St
1512 19 300,zu technischen Zwecken,for technical purposes,kg
1512 19 600,Andere Waren,Others were,EUR
1520 11 000,Wasserdichte Schuhe mit Laufsohlen und Oberteil aus Kautschuk oder Kunststoff (ohne solche mit Metallschutz in der Vorderkappe),Waterproof shoes with the soles and tops made of rubber or plastic (without such with metal protection in the front cap),Paar
1520 12 100,Sandalen,Sandals,Paar
1520 12 310,"Straßenschuhe (Stiefel, Stiefeletten, Halbschuhe)","Street shoes (boots, ankle boots, loafers)",Paar
1520 12 370,Pantoffeln u.a. Hausschuhe,"Slippers, among others",Paar
1520 13 300,"mit einer Hauptsohle aus Holz, weder mit Innensohle noch mit einem Metallschutz in der Vorderkappe, mit Oberteil aus Leder","With a main floor made of wood, neither with inside sole nor with a metal protection in the front cap, with the top of leather",Paar
1520 13 510,für Männer,for men,Paar
1520 13 522,für Frauen,for women,Paar
1520 13 529,Unisex-Schuhe,Unisex shoes,Paar
1520 13 530,für Kinder,for children,Paar
1520 13 610,für Männer,for men,Paar
1520 13 620,"für Frauen, einschl. Sandalen, die nicht als Männer- oder Frauensandalen erkennbar sind (sog. Unisex-Sandalen)","for women, including sandals that are not recognizable as men's or women's sandals (so-called unisex sandals)",Paar
1520 13 630,für Kinder,for children,Paar
1520 13 700,Pantoffeln u.a. Hausschuhe,"Slippers, among others",Paar
1520 13 800,"Andere Schuhe mit Oberteil aus Leder oder rekonstituiertem Leder und Laufsohlen aus Holz, Kork oder aus anderen Stoffen","Other shoes with the top made of leather or reconstituted leather and soles made of wood, cork or from other fabrics",Paar
1520 14 440,Pantoffeln u.a. Hausschuhe,"Slippers, among others",Paar
1520 14 450,"Schuhe mit Laufsohlen aus Kautschuk, Kunststoff, aus Leder oder rekonstituiertem Leder","Shoes with outer soles made of rubber, plastic, made of leather or reconstituted leather",Paar
1520 14 460,"Andere Schuhe mit Oberteil aus Spinnstoffen mit Laufsohlen aus Holz, Kork und Stoffen a.n.g.","Other shoes with the top made of spinning fabrics with wooden, cork and fabrics A.N.G.",Paar
1520 21 000,"Sportschuhe; Tennis-, Basketball-, Turn-, Trainings- u.ä. Schuhe, mit Laufsohlen aus Kautschuk oder Kunststoff und Oberteil aus Spinnstoffen","Sports shoes; Tennis, basketball, gymnastics, training- etc. Shoes, with outsoles made of rubber or plastic and top from spins",Paar
1520 29 000,Andere Sportschuhe (ohne Schlittschuhe und Rollschuhe),Other sports shoes (without ice skates and roller skates),Paar
1520 31 200,mit Laufsohlen oder Oberteil aus Kautschuk oder Kunststoff (einschl. wasserdichte Schuhe),With the soles or top of rubber or plastic (including waterproof shoes),Paar
1520 31 500,"mit Oberteil aus Leder und mit Laufsohlen aus Kautschuk, Kunststoff oder Leder","With the top made of leather and with the soles of rubber, plastic or leather",Paar
1520 32 000,"Andere Schuhe, a.n.g.","Other shoes, A.N.G.",Paar
1520 40 200,aus Leder,of leather,EUR
1520 40 500,aus anderen Stoffen,from other fabrics,EUR
1520 40 850,"Andere Schuhteile, Einlegesohlen u.ä. herausnehmbare Waren, Gamaschen u.ä. Waren sowie Teile dafür, aus anderen Stoffen","Other shoe parts, insoles, etc. removable goods, gaiters etc. Goods and parts for it, from other fabrics",EUR
1599 99 000,Veredlung von Erzeugnissen dieser Güterabteilung,Finishing products of this goods department,EUR
1610 11 341,"Tannenholz der Art ""Abies spp."" und Fichtenholz der Art ""Picea spp."", in der Längsrichtung gesägt oder gesäumt, gemessert oder geschält, auch gehobelt, geschliffen, auch keilverzinkt, >6mm,rau (Oberfläche nicht weiter bearbeitet)","Bill wood of the species ""Abies spp."" and spruce wood of the species ""picea spp."", sawn in the longitudinal direction or lined, tapped or peeled, also planed, sanded, also wedge -diped,> 6mm, rough (surface not further edited)",m3
1610 11 345,"Tannenholz der Art ""Abies spp."" und Fichtenholz der Art ""Picea spp."", in der Längsrichtung gesägt oder gesäumt, gemessert oder geschält, auch gehobelt, geschliffen, auch keilverzinkt, >6mm, gehobelt oder geschliffen","Bill wood of the species ""Abies spp."" and spruce wood of the species ""picea spp."", sawn or lined in the longitudinal direction, tapped or peeled, also planed, sanded, also wedge -diped,> 6mm, planed or sanded",m3
1610 11 361,"Kiefernholz der Art ""Pinus spp."", in der Längsrichtung gesägt oder gesäumt, gemessert oder geschält, auch gehobelt, geschliffen, auch keilverzinkt, mit einer Dicke von mehr als 6 mm, rau (Oberfläche nicht weiter bearbeitet)","Pine wood of the species ""Pinus Spp."", Sawn or lined in the longitudinal direction, tapped or peeled, also planed, sanded, also wedge -dip galvanized, with a thickness of more than 6 mm, rough (surface not further processed)",m3
1610 11 365,"Kiefernholz der Art ""Pinus spp."", in der Längsrichtung gesägt oder gesäumt, gemessert oder geschält, auch gehobelt, geschliffen, auch keilverzinkt, mit einer Dicke von mehr als 6 mm, gehobelt oder geschliffen","Pine wood of the species ""Pinus Spp."", Sawn in the longitudinal direction or lined, tapped or peeled, also planed, sanded, also wedge -dip galvanized, with a thickness of more than 6 mm, planed or sanded",m3
1610 11 381,"Anderes Nadelholz, in der Längsrichtung gesägt oder gesäumt, gemessert oder geschält, auch gehobelt, geschliffen, auch keilverzinkt, mit einer Dicke von mehr als 6 mm, rau (Oberfläche nicht weiter bearbeitet)","Other softwood, sawn or lined in the length of the longitudinal direction, tapped or peeled, also planed, sanded, also wedge -dip galvanized, with a thickness of more than 6 mm, rough (surface not processed further)",m3
1610 11 385,"Anderes Nadelholz, in der Längsrichtung gesägt oder gesäumt, gemessert oder geschält, auch gehobelt, geschliffen, auch keilverzinkt, mit einer Dicke von mehr als 6 mm, gehobelt oder geschliffen","Other softwood, sawn or lined in the longitudinal direction, tapped or peeled, also planed, sanded, also wedge -dip galvanized, with a thickness of more than 6 mm, planed or sanded",m3
1610 12 501,"gehobelt oder geschliffen (auch keilverzinkt), aus Eichenholz","planed or sanded (also wedge -dip galvanized), made of oak",m3
1610 12 503,"gehobelt oder geschliffen (auch keilverzinkt), aus Buchenholz","planed or sanded (also wedge -dip galvanized), made of beech wood",m3
1610 12 504,"gehobelt oder geschliffen, aus anderem nichttropischen Laubholz","Hobbled or sanded, from other non -tropical leaf wood",m3
1610 12 505,"anders bearbeitet (z.B. nur gesägt und gesäumt), aus Eichenholz","processed differently (e.g. just sawn and lined), made of oak wood",m3
1610 12 507,"anders bearbeitet (z.B. nur gesägt und gesäumt), aus Buchenholz","processed differently (e.g. just sawn and lined), made of beech wood",m3
1610 12 508,"anders bearbeitet (z.B. nur gesägt und gesäumt), aus anderem nichttropischen Laubholz","processed differently (e.g. just sawn and lined), from other non -tropical leaf wood",m3
1610 12 710,"Tropenholz, in der Längsrichtung gesägt oder gesäumt, mit einer Dicke von mehr als 6 mm, einschl. Stäbe und Friese für Parkett aus Tropenholz","Tropical wood, sawn or lined in the longitudinal direction, with a thickness of more than 6 mm, including rods and frieze for parquet made of tropical wood",m3
1610 12 770,"Stäbe und Friese für Parkett aus Eichenholz, gehobelt, nicht zusammengesetzt, nicht profiliert, mit einer Dicke von mehr als 6 mm","Rods and fries for parquet made of oak, planed, not composed, not profiled, with a thickness of more than 6 mm",m2
1610 13 000,"Bahnschwellen aus Holz, nicht imprägniert","Wooden lane thresholds, not impregnated",m3
1610 21 103,Leisten,Afford,m
1610 21 109,"Anderes profiliertes Nadelholz, (einschl. Stäbe und Friese für Parkett, nicht zusammengesetzt), entlang einer oder mehrerer Kanten, Enden oder Flächen profiliert, auch gehobelt, auch keilverzinkt","Other profiled needlewood, (including rods and frieze for parquet, not composed), drafted along one or more edges, ends or surfaces, also planed, also wedge interest",m3
1610 22 100,"Holz (einschl. Stäbe und Friese für Parkett, nicht zusammengesetzt, Leisten und Stangen), entlang einer oder mehrerer Kanten, Enden oder Flächen profiliert, aus Bambus","Wood (including rods and frieze for parquet, not composed, strips and rods), along one or more edges, ends or surfaces, made of bamboo",kg
1610 23 004,Leisten u.a. Laubholz (ohne Stäbe und Friese für Parkett),"Provide, among other things, leaf wood (without rods and fries for parquet)",m
1610 23 007,"Stäbe und Friese für Parkett aus Laubholz (ohne solche aus Eiche, nur gehobelt), nicht zusammengesetzt","Rods and frieze for parquet made of leaf wood (without those from oak, only planed), not composed",m2
1610 24 000,Holzwolle; Holzmehl,Wood wool; Wood flour,EUR
1610 25 030,aus Nadelholz,Nobelwood,t
1610 25 050,aus Laubholz,Deprechawood,t
1610 31 160,"Rohholz, auch entrindet, vom Splint befreit oder zwei- oder vierseitig grob zugerichtet, mit Farbe, Beize, Kreosot oder anderen Konservierungsmitteln behandelt","Rawwood, also crew-in, freed from the Splint or roughly prepared by the Splint, treated with color, stain, kreosot or other preservatives",m3
1610 32 000,"Bahnschwellen aus Holz, imprägniert","Wooden lane thresholds, impregnated",m3
1610 39 000,Anderes Rohholz (einschl. gespaltener Pfähle und Pflöcke),Other raw wood (including split pellies and plants),m3
1610 91 001,Trocknen von Holz,Drying wood,EUR
1610 91 002,Imprägnieren oder chemisches Behandeln von Holz,Impregnation or chemical treatment of wood,EUR
1621 11 000,"Sperrholz, furniertes Holz u.ä. Lagenholz, aus Bambus","Plywood, veneered wood etc. Lagenholz, made of bamboo",m3
1621 12 001,"Spanplatten, roh oder nur geschliffen","Chipboard, raw or just sanded",m3
1621 12 002,"Spanplatten, mit Hochdruckschichtpressstoffen mit Dekorschicht beschichtet","Spain slabs, coated with high -pressure layer press fabrics with decorative layer",m3
1621 12 003,"Spanplatten, mit melaminharzgetränkten Papierlagen beschichtet","Spanboards, coated with melamine -resin -soaked paper layers",m3
1621 13 160,Oriented strand board-Platten (OSB) aus Holz,Oriented Strand Board panels (OSB) made of wood,m3
1621 14 190,"Waferboard-Platten u.ä. Platten, aus Holz (ohne Spanplatten und Oriented strand board-Platten)","Waferboard panels etc. Plates, made of wood (without chipboard and Oriented Strand Board plates)",m3
1621 14 500,"Spanplatten u.ä. Platten aus anderen holzigen Stoffen (z.B. aus Bambus, Getreidestroh, Flachs- oder Hanfabfällen)","Sporing slabs etc. Plates made of other woody fabrics (e.g. made of bamboo, grain throat, flax or hemp waste)",m3
1621 15 230,"Dünn-MDF-Platten, mit einer Dicke von 5 mm oder weniger","Thin MDF panels, with a thickness of 5 mm or less",m3
1621 15 260,"Leicht-MDF-Platten, mit einer Dicke von mehr als 5 mm bis 9 mm, mit einer Dichte von weniger als 650 kg/m³","Light MDF panels, with a thickness of more than 5 mm to 9 mm, with a density of less than 650 kg/m³",m3
1621 15 291,roh/geschliffen,raw/ground,m3
1621 15 299,anders bearbeitet,processed differently,m3
1621 15 431,roh/geschliffen,raw/ground,m3
1621 15 439,Laminatböden,Laminate floors,m2
1621 15 460,"Andere Faserplatten, mit einer Dichte von mehr als 500 kg/m³ bis einschließlich 800 kg/m³","Other fiber plates, with a density of more than 500 kg/m³ up to and including 800 kg/m³",m3
1621 15 491,aus Holz-Polymer-Werkstoffen (z.B. Terrassendielen),From wood polymer materials (e.g. terrace boards),t
1621 15 499,"Andere Faserplatten mit einer Dichte von 500 kg/m³ oder weniger u.ä. Plattenwerkstoffe (z.B. auf der Basis von Stroh, Flachs, Hanf)","Other fiber boards with a density of 500 kg/m³ or less etc. Plate materials (e.g. based on straw, flax, hemp)",m3
1621 16 001,"Furniertes Holz u.ä. Lagenholz mit Block-, Stab-, Stäbchen- oder Streifenholzmittellage (Tischlerplatten)","Furned wood and the like. Lagenwood with block, rod, stick or striped wood medium (carpenter plates)",m3
1621 16 002,"Spanplatten, furniert","Sporing slabs, veneered",m3
1621 16 003,"Anderes furniertes Holz u.ä. Lagenholz, aus Nadelholz","Other veneered wood, etc. Lagenwood, made of softwood",m3
1621 16 004,"Anderes Sperrholz, ausschließlich aus Furnieren, mit einer Dicke von 6 mm oder weniger","Other plywood, exclusively from veneers, with a thickness of 6 mm or less",m3
1621 17 110,"Sperrholz, ausschließlich aus Furnieren (nicht aus Bambus), mit einer Dicke von 6 mm oder weniger, mit mindestens einer äußeren Lage aus tropischem Holz","Plywood, exclusively from veneers (not made of bamboo), with a thickness of 6 mm or less, with at least one external location made of tropical wood",m3
1621 18 001,"Furniertes Holz u.ä. Lagenholz mit Block-, Stab-, Stäbchen- oder Streifenholzmittellage (Tischlerplatten), aus anderem Holz","Furned wood and the like. Lagenwood with block, rod, stick or striped wood medium (carpenter plates), made of other wood",m3
1621 18 002,"Spanplatten, furniert, aus anderem Holz als Nadelholz","Sporing slabs, veneered, from other wood as a softwood",m3
1621 18 003,"Sperrholz, mit einer Dicke von 6 mm oder weniger (Furnierplatten), mit mindestens einer äußeren Lage aus anderem Holz als Nadelholz (ohne tropisches Holz) u.a. furniertes Holz u.ä. Lagenholz, aus anderem Holz als Nadelholz","Plywood, with a thickness of 6 mm or less (veneer plates), with at least one outer location made of wood as a softwood (without tropical wood) veneered wood, etc. Lagenholz, made of wood as a softwood",m3
1621 21 000,"Verdichtetes Holz in Blöcken, Platten, Brettern oder Profilen","Dressed wood in blocks, plates, boards or profiles",m3
1621 22 100,"Furnierblätter oder Blätter für Sperrholz (auch zusammengefügt) u.a. Holz, in der Längsrichtung gesägt, gemessert oder geschält, mit einer Dicke von 6 mm oder weniger, aus Nadelholz","Furnier leaves or leaves for plywood (also assembled), among other things, wood, sawn, tasted or peeled in the longitudinal direction, with a thickness of 6 mm or less, made of softwood",m3
1621 23 000,"Furnierblätter oder Blätter für Sperrholz (auch zusammengefügt) u.a. Holz, in der Längsrichtung gesägt, gemessert oder geschält, mit einer Dicke von 6 mm oder weniger, aus tropischem Holz","Furnier leaves or leaves for plywood (also assembled), among other things, wood, sawn, tasted or peeled in the longitudinal direction, with a thickness of 6 mm or less, made of tropical wood",m3
1621 24 000,"Furnierblätter oder Blätter für Sperrholz (auch zusammengefügt) u.a. Holz, in der Längsrichtung gesägt, gemessert oder geschält, mit einer Dicke von 6 mm oder weniger, aus anderem Holz als tropischem oder Nadelholz","Furnier leaves or leaves for plywood (also assembled), among other things, wood, sawn, tasted or peeled in the longitudinal direction, with a thickness of 6 mm or less, made of wood from other than tropical or softwood",m3
1621 91 000,"Veredlung von Sperrholz, furniertem Holz u.ä. Lagenholz, Span- u.ä. Platten und Faserplatten","Refinement of plywood, veneered wood, etc. Lagenholz, Span- and the like Plates and fiber plates",EUR
1622 10 300,Parketttafeln für Mosaikfußböden,Parquet boards for mosaic floors,m2
1622 10 600,Andere Parketttafeln,Other parquet boards,m2
1623 11 100,"Fenster, Fenstertüren, Rahmen und Verkleidungen dafür","Windows, window doors, frames and cladding for it",St
1623 11 501,Türblätter,Door leaves,St
1623 11 505,"Türzargen, Türverkleidungen (auch Türschwellen)","Door frames, door panels (also thresholds)",St
1623 12 000,"Verschalungen für Betonarbeiten, Schindeln („shingles“ und „shakes“), aus Holz","Illusions for concrete work, shingles (""Shingles"" and ""Shakes""), made of wood",m2
1623 19 002,Holzleimbauteile aus Brettschichtholz (Glued laminated timber),Wood glue components made of layer wood (glued laminated timber),m3
1623 19 003,Holzleimbauteile aus Balkenschichtholz/Lamellenholz (Glued solid timber),Wood glue components made of beam layer wood/lamella wood (glued Solid Timber),m3
