date,Category,Total,0-10%,10%-20%,20%-30%,30%-40%,40%-50%,50%-60%,60%-70%,70%-80%,80%-90%,90%-100%
2012-01-01,Household income receipts on assets,"$2,107",0.77307368310801%,0.95847249713039%,1.34216199560612%,2.01965295431057%,2.88813004723771%,4.26397718915895%,6.05815762683748%,8.28996035838659%,13.17610498959670%,60.23030862265890%
2012-01-01,Household interest income,"$1,299",1.14391147245024%,1.32791276761519%,1.77438670493711%,2.55336401014236%,3.50838346209490%,5.21115646950955%,7.10753478757484%,9.29812470818687%,14.10538957985370%,53.96983597927540%
2012-01-01,Household dividend income,$808,0.17737064084540%,0.36501438852588%,0.64784878996912%,1.16231503248731%,1.89177299619504%,2.74245593353453%,4.37246866768110%,6.67047446040949%,11.68332924382990%,70.28694984652230%
2012-01-01,Household current transfer receipts,"$2,410",6.51041051042953%,10.32241394192960%,11.85538278408700%,12.14332113396280%,12.45368904297630%,11.35494754409410%,9.85055026457648%,9.00043079586986%,8.14253062175562%,8.36632336031880%
2012-01-01,Government social benefits,"$2,300",6.04306780526167%,10.46488225656250%,12.10098336080710%,12.42470426733480%,12.68770166881680%,11.57322909008960%,9.90366263224734%,8.97520852890370%,8.00530811032145%,7.82125227965489%
2012-01-01,From business (net),$24,1.77943943573038%,3.53011208186576%,4.38632171302163%,5.24186336709591%,6.26125697849920%,7.50812580330492%,9.14481878461357%,11.23791376854940%,14.42112280320770%,36.48902526411150%
2012-01-01,From nonprofit institutions,$86,20.27754903014970%,8.40934100471061%,7.38145521761516%,6.55834009540625%,7.93452195502405%,6.60448152973968%,8.63079788644250%,9.05206758020732%,10.05827396281280%,15.09317173789190%
2012-01-01,"Less: Contributions for government social insurance, domestic",$951,1.04878113677569%,2.89470134130457%,3.67428728271474%,4.80801743990126%,6.17262191135521%,8.21778815015823%,10.98319749065280%,14.24136041827910%,18.38352142190310%,29.57572340695540%
2012-01-01,Household income,"$14,006",1.83099716321070%,3.57068619231345%,4.42152367835848%,5.27170039059062%,6.28470479985603%,7.52375138754319%,9.15019321123924%,11.23014660604080%,14.39339502657370%,36.32291581803260%
2012-01-01,Personal income,"$14,014",1.71705177550788%,3.54061567660378%,4.40305895647971%,5.26357631306829%,6.27438713776903%,7.52930743478220%,9.15335564960954%,11.24361201464120%,14.42027827563520%,36.45477103159340%
2012-01-01,Less: Taxes,"$1,510",0.70521031065841%,0.53268863830482%,0.93154363903416%,1.59143468621061%,2.40511396109652%,3.86486895539870%,6.24176113128930%,9.52288647322758%,15.09361501816430%,59.11087717689800%
2012-01-01,Disposable personal income,"$12,505",1.83919573649660%,3.90371615784129%,4.82212127625615%,5.70685714232615%,6.74146460826635%,7.97165838225792%,9.50482739653344%,11.45132857964090%,14.33899675113860%,33.71984995818190%
2011-01-01,Compensation of employees,"$8,226",0.96415157905445%,2.78876707689599%,3.65115987571554%,4.75184934248145%,6.17320428845428%,8.04104789048485%,10.87499305419420%,13.73683712488770%,18.09990585537590%,30.91808391245560%
2011-01-01,Proprietors' income with inventory valuation,"$1,227",-0.12635508526442%,0.25004224885950%,0.45634117693194%,0.65468435468238%,1.32870130842619%,2.10933640752012%,3.21705831251438%,5.20794085752113%,9.00541797396036%,77.89683244484840%
2011-01-01,Rental income of households with capital consumption adjustment,$499,1.29926798027979%,3.44236497293439%,4.84294801227207%,6.09399607199982%,7.07212803350526%,8.25429676789725%,9.93095704790964%,11.81158143011640%,14.13346925681210%,33.11899042627330%
2011-01-01,Household income receipts on assets,"$1,897",0.87390638603976%,1.08366454094045%,1.38896803225388%,2.07138603420450%,2.98813273771154%,4.59252424507563%,6.33957833068364%,8.96042969661641%,13.18406417874330%,58.51734580700870%
2011-01-01,Household interest income,"$1,238",1.27166817779910%,1.43110284669173%,1.75089568694107%,2.54621677072866%,3.56414825882679%,5.32024459582741%,7.12350755841015%,9.60370340796662%,13.95690828911160%,53.43160439125790%
2011-01-01,Household dividend income,$660,0.12788329357429%,0.43202578461075%,0.71015374241411%,1.18081609561739%,1.90778543117462%,3.22764657767422%,4.86927796785634%,7.75393612839159%,11.73455453464080%,68.05592044404590%
2011-01-01,Household current transfer receipts,"$2,403",6.42902791201619%,10.05403952817020%,11.39595910209700%,12.28509315147280%,12.31508336012510%,11.65450141135490%,10.16900692094410%,9.23940005903994%,8.38716423762965%,8.07072431715011%
2011-01-01,Government social benefits,"$2,289",6.19269355990828%,10.19361858335690%,11.70785161895950%,12.49018482062530%,12.56314179596370%,11.84593501548050%,10.21948925059670%,9.13489121464436%,8.18066767301725%,7.47152646744758%
2011-01-01,From business (net),$34,1.79166235899953%,3.59438917929715%,4.43286915053844%,5.36856045685934%,6.38659633608515%,7.64187094642055%,9.34580076163982%,11.37643627535760%,14.66152697137300%,35.40028756342940%
2011-01-01,From nonprofit institutions,$81,15.08105218543050%,8.82745037696040%,5.50104659930609%,9.39570944816902%,7.79152549409508%,7.92605644823926%,9.08660207494135%,11.29747512051880%,11.58744536193010%,13.50563689040940%
2011-01-01,"Less: Contributions for government social insurance, domestic",$917,0.98425130982258%,2.91619329347910%,3.72721079302893%,4.77303966131530%,6.22794768726542%,8.12711380671952%,11.05285392383200%,14.06681799732580%,18.60444974345360%,29.52012178375790%
2011-01-01,Household income,"$13,336",1.84696618512080%,3.63754645780241%,4.47037241180168%,5.39977377930825%,6.41093022071009%,7.65777331135361%,9.35019372363330%,11.36716170233410%,14.63012966059170%,35.22915254581860%
2011-01-01,Personal income,"$13,339",1.76646138438250%,3.60584083008078%,4.46389437774047%,5.37537486570273%,6.40241537793545%,7.65604855852440%,9.35176271196591%,11.36764198411330%,14.64875596271080%,35.36180394531860%
2011-01-01,Less: Taxes,"$1,454",0.46782609535047%,0.61816234224478%,1.06561729596282%,1.69718372472565%,2.65249828532161%,4.06210149691211%,6.58417950384281%,9.87911587685519%,15.57480101400470%,57.39851443847530%
2011-01-01,Disposable personal income,"$11,886",1.92529345276342%,3.97125455161447%,4.87952714422146%,5.82524305560632%,6.86105614729324%,8.09561311546239%,9.69025726010817%,11.54969901155710%,14.53549425470610%,32.66656199594230%
2010-01-01,Compensation of employees,"$7,925",0.97030170813236%,2.79113388900432%,3.75454386861771%,4.82000913763334%,6.40324848609610%,8.24398118269297%,10.77551608184880%,14.03782369292150%,17.96932323740060%,30.23411871565230%
2010-01-01,Proprietors' income with inventory valuation,"$1,107",-0.12612488132231%,0.36064817057753%,0.65401615206013%,1.07687174899851%,1.76381162747651%,2.72911439620069%,3.82413319118569%,5.83657973214558%,9.76830239158914%,74.11264747108850%
2010-01-01,Rental income of households with capital consumption adjustment,$427,1.47684443367996%,3.49214859095492%,4.83482549206473%,5.95605944521232%,7.03363582003444%,8.50465715386833%,10.14298118322480%,11.70755932750950%,14.07503005729850%,32.77625849615250%
2010-01-01,Household income receipts on assets,"$1,748",1.01039377646847%,1.14141346147811%,1.57813960946846%,2.17516488282788%,3.23893495137411%,4.80985664530284%,6.70838081448818%,9.19070562434543%,13.94307467395850%,56.20393548916480%
2010-01-01,Household interest income,"$1,224",1.25152383924031%,1.40312749396834%,1.86658598603565%,2.50249573279877%,3.60849565304169%,5.21665038143202%,7.23375155172026%,9.62683292527788%,14.24418367256360%,53.04635266237940%
2010-01-01,Household dividend income,$524,0.44659948696870%,0.52949110180300%,0.90371345925691%,1.40982164080620%,2.37485267632047%,3.85871856323413%,5.47999386797126%,8.17098175029110%,13.23904162233870%,63.58678583100950%
2010-01-01,Household current transfer receipts,"$2,367",6.18835353966321%,10.13519015061480%,11.48544615525950%,12.36739835321420%,12.17129613690230%,11.50113597920920%,10.33972175125920%,8.72284331568369%,8.19273851280822%,8.89587610538583%
2010-01-01,Government social benefits,"$2,260",5.95022164856713%,10.21501365955260%,11.75375612911940%,12.65152812895920%,12.44560442748890%,11.67896603537540%,10.35435855273190%,8.71704298233011%,8.01229490990962%,8.22121352596572%
2010-01-01,From business (net),$28,1.81970102696204%,3.69970990220726%,4.62570161373029%,5.54544846710517%,6.63057140091900%,7.87613532041898%,9.47083126837970%,11.54050110384270%,14.70638726581620%,34.08501263061870%
2010-01-01,From nonprofit institutions,$79,14.57240609349660%,10.14739901897630%,6.24857705767157%,6.66374362185863%,6.29127688714062%,7.70100686276675%,10.23078808923400%,7.88229906212770%,11.03564838630370%,19.22685492042400%
2010-01-01,"Less: Contributions for government social insurance, domestic",$984,1.00493010774799%,2.92736033411871%,3.85496864437930%,4.89167748368462%,6.51136352023140%,8.40979427153319%,11.05391303044840%,14.48913228855550%,18.53772480369980%,28.31913551560110%
2010-01-01,Household income,"$12,591",1.87499153101199%,3.74227614750767%,4.66201826207089%,5.57556596248145%,6.65333130109558%,7.89048616733354%,9.47440125077961%,11.53009503209640%,14.67457598393610%,33.92224246723750%
2010-01-01,Personal income,"$12,595",1.79510041593648%,3.70187919483554%,4.65184261219188%,5.56855242210320%,6.65544923740559%,7.89157823461142%,9.46963957046724%,11.55300979938260%,14.69757528718600%,34.01534939611930%
2010-01-01,Less: Taxes,"$1,238",0.51244979001395%,0.45530158275749%,0.95665634944066%,1.60128960131333%,2.66407181484208%,4.22101634135383%,6.62839437828517%,10.34407598404600%,16.06560258540280%,56.55114146016670%
2010-01-01,Disposable personal income,"$11,357",1.93487768102323%,4.05567596167564%,5.05452667959452%,6.00088616724081%,7.09041097177054%,8.29157914171770%,9.77926566411008%,11.68475461958230%,14.54849553447500%,31.55950996966370%
2009-01-01,Compensation of employees,"$7,759",1.08092073739912%,2.79746889765718%,3.67268871524203%,4.76842766276527%,6.07660727440357%,7.99498078195724%,10.89021523628050%,13.92040217042740%,18.10985089614370%,30.68843762772400%
2009-01-01,Proprietors' income with inventory valuation,$938,-0.35861552130595%,0.46025458330438%,0.78340651485961%,1.24604285836266%,2.10427788269936%,3.16035910378289%,4.12264685314693%,6.14610326102804%,11.38943953273630%,70.94608493138580%
2009-01-01,Rental income of households with capital consumption adjustment,$341,1.64056119823128%,3.72407272281460%,4.98841030720120%,5.89256108766953%,6.93221642035923%,8.03584701521364%,9.38705056723869%,11.72258036227490%,14.59318801563620%,33.08351230336080%
2009-01-01,Household income receipts on assets,"$1,815",0.77358967483284%,1.17847476452390%,1.63001227351680%,2.33589186921071%,3.36908375390533%,4.73938379800811%,6.50832870020636%,9.16386722161338%,13.80850815316720%,56.49285976590930%
2009-01-01,Household interest income,"$1,279",1.07228567722129%,1.42883616375493%,1.87982780955090%,2.62721954209986%,3.73405026773466%,5.10582690760129%,6.99014963999484%,9.52952664960354%,13.91492038889700%,53.71735691792310%
2009-01-01,Household dividend income,$536,0.06024125856073%,0.58055947202242%,1.03340061629640%,1.64014056216294%,2.49746752017377%,3.86424114530478%,5.35763970009765%,8.29059616419726%,13.55437351720660%,63.12134004397740%
2009-01-01,Household current transfer receipts,"$2,189",6.12848714907747%,9.93294625273791%,11.60415257480540%,12.25169006738970%,12.46280489605340%,11.44134116435290%,10.04117118318320%,8.86434777706491%,8.09822165076946%,9.17483728456558%
2009-01-01,Government social benefits,"$2,087",5.86865851814623%,10.03208249339760%,11.88474343736440%,12.54915557697920%,12.72456198903520%,11.65253852748010%,10.05406594625000%,8.80985038684971%,7.84210360860046%,8.58223951589715%
2009-01-01,From business (net),$27,1.79301112593704%,3.63574467898619%,4.56991460804277%,5.47785821465294%,6.50611770122891%,7.71649879314263%,9.48004966974779%,11.59164908662600%,15.00349625978120%,34.22565986185450%
2009-01-01,From nonprofit institutions,$75,14.95630122080900%,9.43032603841008%,6.29329650057235%,6.37513578274600%,7.29024399733490%,6.87820616163558%,9.88282804458559%,9.40532218131340%,12.77124277752300%,16.71709729507010%
2009-01-01,"Less: Contributions for government social insurance, domestic",$964,1.14785184537197%,2.96720999306558%,3.79364197162804%,4.88329109829842%,6.24358006152500%,8.30005705928499%,11.22156280049690%,14.45517085316260%,18.83719542318550%,28.15043889398110%
2009-01-01,Household income,"$12,077",1.84828125904016%,3.67861862761406%,4.60646920145878%,5.50831460710715%,6.52965945618404%,7.73186303207622%,9.48355860177857%,11.58093344155350%,14.96980392473040%,34.06250612466990%
2009-01-01,Personal income,"$12,080",1.76692552812635%,3.64280045939511%,4.59581032613211%,5.50276214428177%,6.52480797474555%,7.73703926263846%,9.48106876382303%,11.59444643116980%,14.98360660083370%,34.17074078294660%
2009-01-01,Less: Taxes,"$1,152",0.03487607996502%,0.39135904410208%,0.80161503425327%,1.47114200968020%,2.42165805188968%,3.94764906789288%,6.47769607214924%,10.22977197483900%,16.41123586183350%,57.81299679681330%
2009-01-01,Disposable personal income,"$10,928",1.94957264580989%,3.98566962620701%,4.99591363714436%,5.92790218728582%,6.95749085045703%,8.13663558131767%,9.79777816778507%,11.73835239139930%,14.83305952748650%,31.67762538163210%
2008-01-01,Compensation of employees,"$8,057",1.05398507404281%,2.80099829233745%,3.61431938600916%,4.80210480648240%,6.38001038631839%,8.43141735735806%,11.14197772474060%,14.03629807709740%,18.06083459813390%,29.67805429747990%
2008-01-01,Proprietors' income with inventory valuation,$960,-0.26839000011869%,0.33384300458259%,0.48867380421752%,1.01902729837516%,1.84312607998551%,2.60049911425185%,3.51207525114188%,5.65281402633946%,10.48794507346200%,74.33038634776270%
2008-01-01,Rental income of households with capital consumption adjustment,$285,1.76180213443186%,3.45227683963221%,4.53552077684445%,5.31677904736639%,6.62479862656102%,7.63518417558198%,8.81357954040631%,10.54417240949680%,14.26942793199660%,37.04645851768240%
2008-01-01,Household income receipts on assets,"$2,163",0.76895399938167%,1.05074548686489%,1.45692084543079%,2.06281802238601%,3.13643909702339%,4.51658080950174%,6.19851179876737%,8.35620984015154%,13.07939902046190%,59.37342110563800%
2008-01-01,Household interest income,"$1,377",1.16559854920243%,1.38911437633498%,1.87838188405680%,2.49601555487926%,3.65668817228623%,5.22654191756821%,7.05174930264642%,9.13053420495492%,13.68008368784090%,54.32529239047170%
2008-01-01,Household dividend income,$787,0.07491400835134%,0.45867497658336%,0.71945750300035%,1.30481841870597%,2.22611860051808%,3.27430633151635%,4.70553540515109%,7.00131393789962%,12.02833407743380%,68.20652674084000%
2008-01-01,Household current transfer receipts,"$1,999",6.74778443652115%,10.60650524597590%,11.95790355452070%,12.79416170393170%,12.54541390757650%,11.51188205030730%,9.80630182587912%,8.64007891378833%,7.89440277647121%,7.49556558502801%
2008-01-01,Government social benefits,"$1,900",6.50802673557092%,10.81063894277530%,12.34698902189510%,13.15121473228690%,12.74003615188690%,11.68243035879870%,9.66678034700550%,8.56095433576168%,7.59023535960611%,6.94269401441282%
2008-01-01,From business (net),$24,1.77574569309690%,3.52196555999269%,4.31413481969355%,5.29098094165505%,6.42102964031245%,7.74346147847716%,9.39673906674376%,11.42965696133400%,14.87627795171430%,35.23000788698010%
2008-01-01,From nonprofit institutions,$74,14.52549764901080%,7.71311370284455%,4.51254707629338%,6.12276783353893%,9.57926394234135%,8.38603400376653%,13.51406871216920%,9.74725026010167%,13.38325894786320%,12.51619787207040%
2008-01-01,"Less: Contributions for government social insurance, domestic",$988,1.11833910889758%,2.94683181768806%,3.72391084984396%,4.90982656714394%,6.62024597062544%,8.71018118755078%,11.52248423020740%,14.55503114409650%,18.72351902867280%,27.16963009527360%
2008-01-01,Household income,"$12,475",1.82625644896272%,3.56174104888484%,4.34905411298708%,5.31989728750227%,6.44300531934968%,7.75731993943138%,9.40044296399990%,11.42088156130280%,14.84632501365300%,35.07507630836710%
2008-01-01,Personal income,"$12,478",1.75041778124849%,3.53680704230698%,4.34786797998980%,5.31494516436190%,6.42421771957479%,7.75349579493265%,9.37595426187159%,11.43088929759270%,14.85521003347790%,35.21019492908320%
2008-01-01,Less: Taxes,"$1,508",0.17609256512274%,0.76188885149393%,1.25407320162286%,1.94440701483318%,3.05003236239994%,4.62262777507906%,7.11872050833326%,10.30552973803100%,16.07845572582370%,54.68817225784420%
2008-01-01,Disposable personal income,"$10,970",1.96676078541128%,3.91813490694450%,4.77301566831220%,5.77812273180822%,6.88789638377031%,8.18373776334735%,9.68614159861365%,11.58553473202470%,14.68711072828130%,32.53353559073350%
2007-01-01,Compensation of employees,"$7,878",1.11394427140202%,2.80580778030426%,3.70012325088961%,4.89444335136986%,6.57678513444205%,8.70364118907932%,11.07797850325140%,14.18855008195920%,17.72036059553010%,29.21836584177220%
2007-01-01,Proprietors' income with inventory valuation,$995,-0.14766921169283%,0.29313092350499%,0.59008956087089%,0.94578079474203%,1.52254239543729%,2.63680613292354%,3.80013280021615%,5.84726342304314%,10.01394941454420%,74.49797376641060%
2007-01-01,Rental income of households with capital consumption adjustment,$181,1.70110871597635%,3.52084752609124%,4.22059246725028%,5.05411347371657%,6.30479337692905%,7.22985897792298%,9.17179434265438%,11.97335910329840%,15.45618036543380%,35.36735165072700%
2007-01-01,Household income receipts on assets,"$2,137",0.78235691529504%,1.12516742766738%,1.51638132231512%,2.02553459973886%,2.98677461278542%,4.39552049926218%,5.94037469855506%,8.51420424290236%,13.19102071771770%,59.52266499063570%
2007-01-01,Household interest income,"$1,346",1.15945975568653%,1.49028400021596%,1.91867228241799%,2.46743168239102%,3.50526219010845%,5.00561435030727%,6.54907892379556%,9.12730590782922%,13.82697861273830%,54.94991233718720%
2007-01-01,Household dividend income,$791,0.14103626383490%,0.50423124505295%,0.83222444791487%,1.27402149888124%,2.10500774378598%,3.35796324936749%,4.90518071838638%,7.47153174869892%,12.10947773301770%,67.29932535105960%
2007-01-01,Household current transfer receipts,"$1,772",7.03155136559186%,10.96555186001110%,12.75254978939410%,13.28154423539620%,12.88268285079530%,10.78338312656120%,9.60233761100319%,7.97618652680603%,7.31979595185553%,7.40441668258554%
2007-01-01,Government social benefits,"$1,680",6.65628597223436%,11.25262556599980%,13.06830119935130%,13.65433814262910%,13.14381218442460%,10.94688507747350%,9.53272874811418%,7.84967319138950%,7.12469732182590%,6.77065259655787%
2007-01-01,From business (net),$18,1.77757586504545%,3.46353670746007%,4.35511607200575%,5.25714106537388%,6.40712252565593%,7.67704791807007%,9.27670920409614%,11.50687900487670%,14.68734734011900%,35.59152429729700%
2007-01-01,From nonprofit institutions,$74,16.85076972428300%,6.29177416656793%,7.64783685764151%,6.78908465420804%,8.54547014021386%,7.83414642936780%,11.26388546595940%,9.98060904061536%,9.93724633881333%,14.85917718232970%
2007-01-01,"Less: Contributions for government social insurance, domestic",$961,1.18215399032435%,2.93669310441129%,3.80382375604834%,5.02980388876286%,6.78021225531392%,9.04112432293473%,11.47570678734690%,14.66377072881600%,18.29646315077220%,26.79024801526940%
2007-01-01,Household income,"$12,003",1.82721828520165%,3.50299561383827%,4.38919836600578%,5.28576223796115%,6.42881418640770%,7.69107316757799%,9.28107790927944%,11.49777850657450%,14.65905561316280%,35.43703444999760%
2007-01-01,Personal income,"$12,021",1.73443276888131%,3.48553974551167%,4.36889374746085%,5.27629576507573%,6.41562840524606%,7.69008490399373%,9.26884808303691%,11.50717894641960%,14.68831364057200%,35.56478399858040%
2007-01-01,Less: Taxes,"$1,492",0.30119339079187%,0.74124905312712%,1.15906213041458%,1.87142338971971%,2.99418245263078%,4.61099786888291%,6.90139091174330%,10.47183630810490%,15.71768689325460%,55.23097759005430%
2007-01-01,Disposable personal income,"$10,529",1.93759742086486%,3.87454863822240%,4.82389403099499%,5.75894348028832%,6.90062545938102%,8.12655187209310%,9.60444004321106%,11.65394091096820%,14.54239784880720%,32.77706030222270%
2006-01-01,Compensation of employees,"$7,480",1.08770470579425%,2.96597356587311%,3.74826755846442%,4.92210363080910%,6.34063407587422%,8.26856879499024%,11.06151870457610%,13.95586387981560%,17.83632249787520%,29.81304258592780%
2006-01-01,Proprietors' income with inventory valuation,"$1,051",-0.21528083107355%,0.30831801260494%,0.49294568494161%,0.83821453459822%,1.60090137697353%,2.55464608112295%,3.45660460780030%,6.07642739045104%,9.81148304054534%,75.07574010203560%
2006-01-01,Rental income of households with capital consumption adjustment,$176,1.90037062351802%,3.38951546653286%,4.60295653465602%,5.17098641256893%,6.42592879186198%,7.59505205664010%,8.98171230161496%,11.47706216223040%,15.54052837288480%,34.91588727749190%
2006-01-01,Household income receipts on assets,"$1,927",0.81438560805625%,1.12209992995831%,1.51582684145565%,2.14415814472804%,3.18904513112795%,4.45702549174387%,6.15933103748036%,8.64512061928954%,13.36011892677000%,58.59288830161680%
2006-01-01,Household interest income,"$1,227",1.22663183766691%,1.46481939898644%,1.89896064155181%,2.63646498874531%,3.75639164460206%,5.11446089862681%,6.93682993076041%,9.32032080964004%,13.98329942481790%,53.66182047522360%
2006-01-01,Household dividend income,$700,0.09214195089572%,0.52166517783271%,0.84458733194066%,1.28165057054355%,2.19507019251952%,3.30521737681606%,4.79717511272832%,7.46218910951008%,12.26832443684510%,67.23197874036830%
2006-01-01,Household current transfer receipts,"$1,654",7.10426078670855%,10.61984894881570%,12.42004947740190%,13.08506693061820%,12.77561531799260%,11.57751319022850%,9.12486060077431%,8.17870724264683%,7.57197255915175%,7.54210494566161%
2006-01-01,Government social benefits,"$1,575",6.81723697161638%,10.83762797902860%,12.81021350504890%,13.43819721862360%,13.01194726687980%,11.70563620568020%,9.18813626372936%,7.98816957287785%,7.17941603727087%,7.02341897924429%
2006-01-01,From business (net),$8,1.75405251382443%,3.47765347715516%,4.30134547350796%,5.22589949394635%,6.26758049911245%,7.52598671666405%,9.17783074390742%,11.40431197648100%,14.78489004932060%,36.08044905608070%
2006-01-01,From nonprofit institutions,$70,14.18962762486120%,6.56179872810501%,4.59953032821413%,6.06699120329725%,8.22565022593707%,9.17240558386057%,7.69540281751245%,12.08485034939590%,15.55287780165670%,15.85086533715980%
2006-01-01,"Less: Contributions for government social insurance, domestic",$923,1.15524036270563%,3.10304617861625%,3.85085773466674%,5.05272051830828%,6.53444153799275%,8.56634175560107%,11.43516742755260%,14.59465624726900%,18.45190711124170%,27.25562112604590%
2006-01-01,Household income,"$11,365",1.80346429339653%,3.51674148967044%,4.33549003944299%,5.25450953742007%,6.28994154262560%,7.54082460502689%,9.18274672589445%,11.39589935949430%,14.75621199915270%,35.92417041334030%
2006-01-01,Personal income,"$11,385",1.72687161792792%,3.49769956932839%,4.33359679226898%,5.24928582990407%,6.27785676802504%,7.53067033089321%,9.19185935288567%,11.39172805228970%,14.75153805433220%,36.04890242131890%
2006-01-01,Less: Taxes,"$1,357",0.30909453957314%,0.72305802355144%,1.16143212181935%,1.81225783538457%,2.78664461914150%,4.26001077337892%,6.84670850587241%,10.20474002470770%,15.78500887248720%,56.11104464910760%
2006-01-01,Disposable personal income,"$10,028",1.91872640138544%,3.87316637885706%,4.76285672939243%,5.71438723506072%,6.75029032240812%,7.97325837189119%,9.50920650079713%,11.55235127596850%,14.61168631975290%,33.33407047541230%
2005-01-01,Compensation of employees,"$7,066",0.97956629999149%,2.57568802384037%,3.59913013703195%,4.86102256535488%,6.46681742097693%,8.65013873419421%,11.21449400049220%,13.90164216122650%,17.80578098046120%,29.94571967643020%
2005-01-01,Proprietors' income with inventory valuation,$979,-0.54729261306786%,0.16180186593734%,0.42420395732343%,0.90021076260994%,1.44955205801540%,2.38625161998232%,3.58701421129670%,5.49529375464572%,10.71213143371580%,75.43083294954120%
2005-01-01,Rental income of households with capital consumption adjustment,$216,1.69822224237946%,3.33278468100737%,4.64315978152187%,5.51494527596886%,6.70868131303005%,7.94772122244942%,9.18518642238223%,10.95965739192290%,14.41179646247290%,35.59784520686490%
2005-01-01,Household income receipts on assets,"$1,650",0.79266203088742%,1.19587367511593%,1.55938314452802%,2.44693676404021%,3.56892146595136%,4.98781651145341%,6.42284426309650%,9.02976047587627%,13.58023948673050%,56.41556216132910%
2005-01-01,Household interest income,"$1,091",1.22497687390387%,1.55800904811178%,1.94977057731949%,2.93541580637249%,4.14399749080636%,5.67179057266057%,7.07387401661332%,9.72637809781707%,14.05898526285790%,51.65680222178870%
2005-01-01,Household dividend income,$559,-0.05094730778015%,0.48921095590520%,0.79758999927437%,1.49372988597051%,2.44673120843795%,3.65312510596127%,5.15243962932285%,7.67039671392629%,12.64602588265740%,65.70169792632430%
2005-01-01,Household current transfer receipts,"$1,551",7.13382358918121%,11.13100945223180%,12.62056341488910%,12.91527744373110%,12.33859074136690%,10.55207480153300%,9.11225183539396%,8.63797977261221%,7.73935844139717%,7.81907050766343%
2005-01-01,Government social benefits,"$1,473",6.85933460160935%,11.39698720574970%,13.02769750706170%,13.29630583950490%,12.58609544616110%,10.61537698917760%,8.94161305110212%,8.38694015278922%,7.55959071793607%,7.33005848890815%
2005-01-01,From business (net),$11,1.66906713914305%,3.35570057265723%,4.28648606378130%,5.27179870306041%,6.38048914150634%,7.72922406313601%,9.37313003495766%,11.50153418197230%,14.91814328512690%,35.51442681465880%
2005-01-01,From nonprofit institutions,$67,14.06323236563540%,6.52872577474036%,4.99926925386832%,5.75742100658781%,7.84955305341976%,9.61387444393680%,12.82882464660890%,13.70497303010130%,10.53905834743720%,14.11506807766420%
2005-01-01,"Less: Contributions for government social insurance, domestic",$873,1.03444380472926%,2.68633810862501%,3.70236205365573%,4.98933545868616%,6.62925227743644%,8.90718384498260%,11.65323052510610%,14.40987413677680%,18.53386106722750%,27.45411872277440%
2005-01-01,Household income,"$10,589",1.72091054136608%,3.39703972938072%,4.32202758482481%,5.30121502402849%,6.40301073419969%,7.74335076825483%,9.37702916707848%,11.49219563972230%,14.88753482258000%,35.35567654168210%
2005-01-01,Personal income,"$10,605",1.64265580875237%,3.37696433319211%,4.31747919595423%,5.29810867823897%,6.39371155048923%,7.73144282045799%,9.35522700308900%,11.47831211872280%,14.91520337718940%,35.49089511064800%
2005-01-01,Less: Taxes,"$1,212",0.23071141725135%,0.72444894705071%,1.16599594394371%,1.91232314325524%,2.98785079325590%,4.82972740026506%,7.25779703181854%,10.62586017136680%,16.90350060273140%,53.36178464046010%
2005-01-01,Disposable personal income,"$9,392",1.82492095331459%,3.71937236513635%,4.72429801542805%,5.73517312192747%,6.83336746541941%,8.10601959821455%,9.62598014267712%,11.58835347612500%,14.65853797065670%,33.18397687561470%
2004-01-01,Compensation of employees,"$6,719",0.94180461255584%,2.51465091582864%,3.52482182244117%,4.87446707953299%,6.53886297492941%,8.67829102793743%,11.19877793773230%,14.03790743399780%,17.94833702207640%,29.74207917296800%
2004-01-01,Proprietors' income with inventory valuation,$963,-0.64741424767665%,0.18526957513910%,0.29447584864968%,0.61757881333835%,1.31619958413482%,2.19225871029377%,3.26360028124802%,5.96016734921596%,10.40720134091570%,76.41066274474130%
2004-01-01,Rental income of households with capital consumption adjustment,$238,2.18062145827001%,4.27201027255622%,5.46132976569286%,6.12027538912025%,7.05013666827403%,8.12811111934875%,9.79665778108172%,11.93429023478980%,14.03299814283430%,31.02356916803210%
2004-01-01,Household income receipts on assets,"$1,490",0.77176598055257%,1.19511518593800%,1.52110300473712%,2.35825766029682%,3.72641556234629%,5.11191591785253%,6.87795822544050%,9.33031236495938%,13.86229778750260%,55.24485833755560%
2004-01-01,Household interest income,$943,1.29053626944328%,1.59679622795704%,1.98680957903534%,3.02209119501171%,4.55082506613855%,6.04446824529197%,7.91915313208696%,10.15777544231730%,14.71903543342810%,48.71250945222710%
2004-01-01,Household dividend income,$547,-0.12319234658854%,0.50215377101510%,0.71768772518482%,1.21304298156301%,2.30418270477300%,3.50312010049494%,5.08173729329595%,7.90281162457050%,12.38429392564710%,66.51416222004410%
2004-01-01,Household current transfer receipts,"$1,455",7.46753688902539%,11.50635537555120%,12.93124308861520%,13.11173945648650%,12.01049399353560%,10.50536919605490%,9.36161937702880%,8.14865554446803%,8.02015053741614%,6.93683654181824%
2004-01-01,Government social benefits,"$1,387",7.07903083479859%,11.68905681583910%,13.25065317051830%,13.47056942642080%,12.26825724021640%,10.59849051956480%,9.32879336292862%,7.98670491835118%,7.72295977025966%,6.60548394110262%
