Year,Quarter,Sector,Measure,Value,SE,Lower CI,Upper CI
2020,4,314,Revised estimation assumptions,D,D,,
2020,4,314,Change in method of operation,D,D,,
2020,4,314,Change in product mix or specifications,19.9,13.7,,
2020,4,314,Change in material input,D,D,,
2020,4,314,Other (full capacity: current vs. prior quarter),67.4,16.8,,
2020,4,314,Not profitable to operate at full capacity,D,D,,
2020,4,314,Insufficient supply of materials,12.0,9.7,,
2020,4,314,Insufficient orders,67.8,13.3,,
2020,4,314,Insufficient supply of labor,28.5,13.2,,
2020,4,314,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,314,Equipment limitations,0.0,0.0,,
2020,4,314,Storage limitations,0.0,0.0,,
2020,4,314,Logistics/transportation constraints,D,D,,
2020,4,314,Sufficient inventory of finished goods,1.4,0.6,,
2020,4,314,Strike or work stoppage,0.0,0.0,,
2020,4,314,Seasonal operations,9.8,9.6,,
2020,4,314,Environmental restrictions,0.0,0.0,,
2020,4,314,Other (actual production less than full production),20.3,12.4,,
2020,4,315,Building capital expenditures,0.0,0.0,,
2020,4,315,Machinery capital expenditures,0.0,0.0,,
2020,4,315,Building retirements,0.0,0.0,,
2020,4,315,Machinery retirements,0.0,0.0,,
2020,4,315,"Price changed, product mix same",22.9,18.8,,
2020,4,315,Revised estimation assumptions,D,D,,
2020,4,315,Change in method of operation,39.0,19.8,,
2020,4,315,Change in product mix or specifications,24.4,14.4,,
2020,4,315,Change in material input,D,D,,
2020,4,315,Other (full capacity: current vs. prior quarter),9.9,5.7,,
2020,4,315,Not profitable to operate at full capacity,17.7,14.5,,
2020,4,315,Insufficient supply of materials,D,D,,
2020,4,315,Insufficient orders,59.6,17.0,,
2020,4,315,Insufficient supply of labor,13.3,9.8,,
2020,4,315,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,315,Equipment limitations,D,D,,
2020,4,315,Storage limitations,D,D,,
2020,4,315,Logistics/transportation constraints,0.0,0.0,,
2020,4,315,Sufficient inventory of finished goods,7.2,4.9,,
2020,4,315,Strike or work stoppage,0.0,0.0,,
2020,4,315,Seasonal operations,16.0,12.9,,
2020,4,315,Environmental restrictions,D,D,,
2020,4,315,Other (actual production less than full production),54.7,16.0,,
2020,4,316,Building capital expenditures,D,D,,
2020,4,316,Machinery capital expenditures,D,D,,
2020,4,316,Building retirements,0.0,0.0,,
2020,4,316,Machinery retirements,0.0,0.0,,
2020,4,316,"Price changed, product mix same",D,D,,
2020,4,316,Revised estimation assumptions,D,D,,
2020,4,316,Change in method of operation,D,D,,
2020,4,316,Change in product mix or specifications,5.0,5.2,,
2020,4,316,Change in material input,D,D,,
2020,4,316,Other (full capacity: current vs. prior quarter),80.2,19.8,,
2020,4,316,Not profitable to operate at full capacity,5.6,4.7,,
2020,4,316,Insufficient supply of materials,27.5,25.7,,
2020,4,316,Insufficient orders,24.3,20.9,,
2020,4,316,Insufficient supply of labor,58.2,32.2,,
2020,4,316,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,316,Equipment limitations,0.0,0.0,,
2020,4,316,Storage limitations,0.0,0.0,,
2020,4,316,Logistics/transportation constraints,3.0,2.0,,
2020,4,316,Sufficient inventory of finished goods,0.0,0.0,,
2020,4,316,Strike or work stoppage,0.0,0.0,,
2020,4,316,Seasonal operations,0.0,0.0,,
2020,4,316,Environmental restrictions,D,D,,
2020,4,316,Other (actual production less than full production),18.2,16.8,,
2020,4,321,Building capital expenditures,D,D,,
2020,4,321,Machinery capital expenditures,7.3,4.0,,
2020,4,321,Building retirements,D,D,,
2020,4,321,Machinery retirements,0.0,0.0,,
2020,4,321,"Price changed, product mix same",19.4,4.7,,
2020,4,321,Revised estimation assumptions,15.8,5.7,,
2020,4,321,Change in method of operation,6.0,3.9,,
2020,4,321,Change in product mix or specifications,14.6,4.7,,
2020,4,321,Change in material input,6.8,3.1,,
2020,4,321,Other (full capacity: current vs. prior quarter),43.9,7.3,,
2020,4,321,Not profitable to operate at full capacity,12.6,4.9,,
2020,4,321,Insufficient supply of materials,16.0,4.6,,
2020,4,321,Insufficient orders,55.0,7.3,,
2020,4,321,Insufficient supply of labor,24.5,5.8,,
2020,4,321,Lack of sufficient fuel or energy,D,D,,
2020,4,321,Equipment limitations,12.5,5.1,,
2020,4,321,Storage limitations,6.7,4.0,,
2020,4,321,Logistics/transportation constraints,8.6,3.6,,
2020,4,321,Sufficient inventory of finished goods,2.0,1.1,,
2020,4,321,Strike or work stoppage,0.0,0.0,,
2020,4,321,Seasonal operations,9.2,3.5,,
2020,4,321,Environmental restrictions,D,D,,
2020,4,321,Other (actual production less than full production),22.4,6.4,,
2020,4,322,Building capital expenditures,0.0,0.0,,
2020,4,322,Machinery capital expenditures,10.2,6.8,,
2020,4,322,Building retirements,0.0,0.0,,
2020,4,322,Machinery retirements,0.0,0.0,,
2020,4,322,"Price changed, product mix same",20.5,8.1,,
2020,4,322,Revised estimation assumptions,10.2,8.0,,
2020,4,322,Change in method of operation,D,D,,
2020,4,322,Change in product mix or specifications,53.8,11.6,,
2020,4,322,Change in material input,0.0,0.0,,
2020,4,322,Other (full capacity: current vs. prior quarter),40.6,11.7,,
2020,4,322,Not profitable to operate at full capacity,10.1,5.8,,
2020,4,322,Insufficient supply of materials,5.9,3.0,,
2020,4,322,Insufficient orders,59.4,9.5,,
2020,4,322,Insufficient supply of labor,27.7,9.1,,
2020,4,322,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,322,Equipment limitations,8.6,4.7,,
2020,4,322,Storage limitations,D,D,,
2020,4,322,Logistics/transportation constraints,D,D,,
2020,4,322,Sufficient inventory of finished goods,D,D,,
2020,4,322,Strike or work stoppage,0.0,0.0,,
2020,4,322,Seasonal operations,4.6,2.7,,
2020,4,322,Environmental restrictions,0.0,0.0,,
2020,4,322,Other (actual production less than full production),13.7,6.7,,
2020,4,323,Building capital expenditures,0.0,0.0,,
2020,4,323,Machinery capital expenditures,10.1,5.7,,
2020,4,323,Building retirements,0.0,0.0,,
2020,4,323,Machinery retirements,0.0,0.0,,
2020,4,323,"Price changed, product mix same",D,D,,
2020,4,323,Revised estimation assumptions,10.5,5.7,,
2020,4,323,Change in method of operation,10.2,5.2,,
2020,4,323,Change in product mix or specifications,21.5,6.9,,
2020,4,323,Change in material input,7.0,4.7,,
2020,4,323,Other (full capacity: current vs. prior quarter),58.2,8.9,,
2020,4,323,Not profitable to operate at full capacity,4.5,2.6,,
2020,4,323,Insufficient supply of materials,4.9,2.6,,
2020,4,323,Insufficient orders,71.8,5.4,,
2020,4,323,Insufficient supply of labor,13.8,3.9,,
2020,4,323,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,323,Equipment limitations,5.1,2.3,,
2020,4,323,Storage limitations,6.6,3.0,,
2020,4,323,Logistics/transportation constraints,3.5,2.1,,
2020,4,323,Sufficient inventory of finished goods,4.5,2.6,,
2020,4,323,Strike or work stoppage,D,D,,
2020,4,323,Seasonal operations,7.8,3.2,,
2020,4,323,Environmental restrictions,3.5,2.1,,
2020,4,323,Other (actual production less than full production),41.9,5.9,,
2020,4,324,Building capital expenditures,0.0,0.0,,
2020,4,324,Machinery capital expenditures,D,D,,
2020,4,324,Building retirements,0.0,0.0,,
2020,4,324,Machinery retirements,D,D,,
2020,4,324,"Price changed, product mix same",10.4,5.2,,
2020,4,324,Revised estimation assumptions,D,D,,
2020,4,324,Change in method of operation,2.4,1.5,,
2020,4,324,Change in product mix or specifications,11.8,6.6,,
2020,4,324,Change in material input,D,D,,
2020,4,324,Other (full capacity: current vs. prior quarter),79.6,9.9,,
2020,4,324,Not profitable to operate at full capacity,8.5,3.9,,
2020,4,324,Insufficient supply of materials,D,D,,
2020,4,324,Insufficient orders,29.7,13.7,,
2020,4,324,Insufficient supply of labor,D,D,,
2020,4,324,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,324,Equipment limitations,3.1,1.6,,
2020,4,324,Storage limitations,15.2,14.5,,
2020,4,324,Logistics/transportation constraints,2.6,1.7,,
2020,4,324,Sufficient inventory of finished goods,2.2,1.1,,
2020,4,324,Strike or work stoppage,0.0,0.0,,
2020,4,324,Seasonal operations,25.1,14.6,,
2020,4,324,Environmental restrictions,0.0,0.0,,
2020,4,324,Other (actual production less than full production),47.0,16.5,,
2020,4,325,Building capital expenditures,1.4,0.9,,
2020,4,325,Machinery capital expenditures,10.1,4.5,,
2020,4,325,Building retirements,D,D,,
2020,4,325,Machinery retirements,1.3,0.8,,
2020,4,325,"Price changed, product mix same",19.9,5.2,,
2020,4,325,Revised estimation assumptions,16.5,5.0,,
2020,4,325,Change in method of operation,3.5,2.5,,
2020,4,325,Change in product mix or specifications,34.1,6.1,,
2020,4,325,Change in material input,0.7,0.3,,
2020,4,325,Other (full capacity: current vs. prior quarter),37.2,6.7,,
2020,4,325,Not profitable to operate at full capacity,14.8,4.2,,
2020,4,325,Insufficient supply of materials,17.6,4.6,,
2020,4,325,Insufficient orders,57.2,5.7,,
2020,4,325,Insufficient supply of labor,13.8,4.1,,
2020,4,325,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,325,Equipment limitations,9.2,3.4,,
2020,4,325,Storage limitations,8.5,3.4,,
2020,4,325,Logistics/transportation constraints,4.8,2.4,,
2020,4,325,Sufficient inventory of finished goods,10.7,3.4,,
2020,4,325,Strike or work stoppage,D,D,,
2020,4,325,Seasonal operations,14.4,4.0,,
2020,4,325,Environmental restrictions,D,D,,
2020,4,325,Other (actual production less than full production),26.2,5.0,,
2020,4,326,Building capital expenditures,D,D,,
2020,4,326,Machinery capital expenditures,6.6,3.7,,
2020,4,326,Building retirements,0.0,0.0,,
2020,4,326,Machinery retirements,5.4,3.1,,
2020,4,326,"Price changed, product mix same",14.8,4.8,,
2020,4,326,Revised estimation assumptions,15.7,5.8,,
2020,4,326,Change in method of operation,9.6,4.5,,
2020,4,326,Change in product mix or specifications,28.4,6.2,,
2020,4,326,Change in material input,D,D,,
2020,4,326,Other (full capacity: current vs. prior quarter),45.6,7.4,,
2020,4,326,Not profitable to operate at full capacity,6.7,2.8,,
2020,4,326,Insufficient supply of materials,7.3,3.1,,
2020,4,326,Insufficient orders,69.3,5.5,,
2020,4,326,Insufficient supply of labor,31.8,5.7,,
2020,4,326,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,326,Equipment limitations,5.5,2.3,,
2020,4,326,Storage limitations,2.7,1.8,,
2020,4,326,Logistics/transportation constraints,4.0,2.2,,
2020,4,326,Sufficient inventory of finished goods,8.0,3.0,,
2020,4,326,Strike or work stoppage,0.0,0.0,,
2020,4,326,Seasonal operations,8.4,3.2,,
2020,4,326,Environmental restrictions,D,D,,
2020,4,326,Other (actual production less than full production),31.4,5.7,,
2020,4,327,Building capital expenditures,0.0,0.0,,
2020,4,327,Machinery capital expenditures,D,D,,
2020,4,327,Building retirements,0.0,0.0,,
2020,4,327,Machinery retirements,D,D,,
2020,4,327,"Price changed, product mix same",3.5,1.3,,
2020,4,327,Revised estimation assumptions,8.8,3.9,,
2020,4,327,Change in method of operation,D,D,,
2020,4,327,Change in product mix or specifications,11.0,5.1,,
2020,4,327,Change in material input,D,D,,
2020,4,327,Other (full capacity: current vs. prior quarter),73.3,7.0,,
2020,4,327,Not profitable to operate at full capacity,5.5,3.2,,
2020,4,327,Insufficient supply of materials,10.8,4.7,,
2020,4,327,Insufficient orders,60.2,7.1,,
2020,4,327,Insufficient supply of labor,12.9,4.7,,
2020,4,327,Lack of sufficient fuel or energy,D,D,,
2020,4,327,Equipment limitations,9.4,4.0,,
2020,4,327,Storage limitations,1.4,1.1,,
2020,4,327,Logistics/transportation constraints,7.1,4.1,,
2020,4,327,Sufficient inventory of finished goods,11.8,4.2,,
2020,4,327,Strike or work stoppage,0.0,0.0,,
2020,4,327,Seasonal operations,22.2,6.1,,
2020,4,327,Environmental restrictions,0.2,0.1,,
2020,4,327,Other (actual production less than full production),23.1,6.3,,
2020,4,331,Building capital expenditures,10.6,9.7,,
2020,4,331,Machinery capital expenditures,11.5,9.7,,
2020,4,331,Building retirements,0.0,0.0,,
2020,4,331,Machinery retirements,0.0,0.0,,
2020,4,331,"Price changed, product mix same",36.1,12.8,,
2020,4,331,Revised estimation assumptions,12.8,9.8,,
2020,4,331,Change in method of operation,9.8,9.5,,
2020,4,331,Change in product mix or specifications,17.2,9.2,,
2020,4,331,Change in material input,13.5,9.7,,
2020,4,331,Other (full capacity: current vs. prior quarter),37.4,13.8,,
2020,4,331,Not profitable to operate at full capacity,17.2,7.2,,
2020,4,331,Insufficient supply of materials,13.2,6.6,,
2020,4,331,Insufficient orders,62.4,8.9,,
2020,4,331,Insufficient supply of labor,32.9,9.0,,
2020,4,331,Lack of sufficient fuel or energy,D,D,,
2020,4,331,Equipment limitations,2.5,1.4,,
2020,4,331,Storage limitations,8.3,5.0,,
2020,4,331,Logistics/transportation constraints,6.0,4.7,,
2020,4,331,Sufficient inventory of finished goods,5.6,3.9,,
2020,4,331,Strike or work stoppage,5.7,4.6,,
2020,4,331,Seasonal operations,2.0,1.2,,
2020,4,331,Environmental restrictions,D,D,,
2020,4,331,Other (actual production less than full production),17.3,6.7,,
2020,4,332,Building capital expenditures,1.8,1.2,,
2020,4,332,Machinery capital expenditures,10.7,2.8,,
2020,4,332,Building retirements,D,D,,
2020,4,332,Machinery retirements,3.8,1.7,,
2020,4,332,"Price changed, product mix same",11.0,2.7,,
2020,4,332,Revised estimation assumptions,15.6,3.2,,
2020,4,332,Change in method of operation,3.0,1.5,,
2020,4,332,Change in product mix or specifications,26.4,3.9,,
2020,4,332,Change in material input,1.8,1.1,,
2020,4,332,Other (full capacity: current vs. prior quarter),45.5,4.5,,
2020,4,332,Not profitable to operate at full capacity,7.7,1.8,,
2020,4,332,Insufficient supply of materials,11.2,2.1,,
2020,4,332,Insufficient orders,78.1,2.8,,
2020,4,332,Insufficient supply of labor,27.6,3.0,,
2020,4,332,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,332,Equipment limitations,7.5,1.7,,
2020,4,332,Storage limitations,1.0,0.7,,
2020,4,332,Logistics/transportation constraints,1.1,0.7,,
2020,4,332,Sufficient inventory of finished goods,4.8,1.4,,
2020,4,332,Strike or work stoppage,D,D,,
2020,4,332,Seasonal operations,3.8,1.2,,
2020,4,332,Environmental restrictions,D,D,,
2020,4,332,Other (actual production less than full production),21.5,2.8,,
2020,4,333,Building capital expenditures,3.5,2.4,,
2020,4,333,Machinery capital expenditures,10.3,3.8,,
2020,4,333,Building retirements,0.0,0.0,,
2020,4,333,Machinery retirements,5.1,2.9,,
2020,4,333,"Price changed, product mix same",13.6,4.4,,
2020,4,333,Revised estimation assumptions,17.9,4.8,,
2020,4,333,Change in method of operation,8.7,3.7,,
2020,4,333,Change in product mix or specifications,29.7,5.4,,
2020,4,333,Change in material input,7.2,3.3,,
2020,4,333,Other (full capacity: current vs. prior quarter),36.7,5.9,,
2020,4,333,Not profitable to operate at full capacity,11.6,3.3,,
2020,4,333,Insufficient supply of materials,17.6,3.9,,
2020,4,333,Insufficient orders,75.5,4.3,,
2020,4,333,Insufficient supply of labor,21.1,4.2,,
2020,4,333,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,333,Equipment limitations,7.4,2.7,,
2020,4,333,Storage limitations,6.7,2.6,,
2020,4,333,Logistics/transportation constraints,3.0,1.6,,
2020,4,333,Sufficient inventory of finished goods,4.3,2.1,,
2020,4,333,Strike or work stoppage,0.0,0.0,,
2020,4,333,Seasonal operations,6.3,2.5,,
2020,4,333,Environmental restrictions,1.2,0.8,,
2020,4,333,Other (actual production less than full production),22.0,4.1,,
2020,4,334,Building capital expenditures,D,D,,
2020,4,334,Machinery capital expenditures,3.0,1.5,,
2020,4,334,Building retirements,0.0,0.0,,
2020,4,334,Machinery retirements,D,D,,
2020,4,334,"Price changed, product mix same",6.0,3.8,,
2020,4,334,Revised estimation assumptions,21.9,7.4,,
2020,4,334,Change in method of operation,11.2,6.2,,
2020,4,334,Change in product mix or specifications,32.5,7.9,,
2020,4,334,Change in material input,2.4,1.5,,
2020,4,334,Other (full capacity: current vs. prior quarter),42.3,8.9,,
2020,4,334,Not profitable to operate at full capacity,6.9,3.4,,
2020,4,334,Insufficient supply of materials,25.5,6.2,,
2020,4,334,Insufficient orders,71.4,6.3,,
2020,4,334,Insufficient supply of labor,19.2,5.6,,
2020,4,334,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,334,Equipment limitations,D,D,,
2020,4,334,Storage limitations,D,D,,
2020,4,334,Logistics/transportation constraints,7.1,3.8,,
2020,4,334,Sufficient inventory of finished goods,2.3,2.1,,
2020,4,334,Strike or work stoppage,D,D,,
2020,4,334,Seasonal operations,5.0,3.2,,
2020,4,334,Environmental restrictions,D,D,,
2020,4,334,Other (actual production less than full production),19.4,5.4,,
2020,4,335,Building capital expenditures,D,D,,
2020,4,335,Machinery capital expenditures,D,D,,
2020,4,335,Building retirements,0.0,0.0,,
2020,4,335,Machinery retirements,D,D,,
2020,4,335,"Price changed, product mix same",15.6,8.1,,
2020,4,335,Revised estimation assumptions,18.4,8.8,,
2020,4,335,Change in method of operation,D,D,,
2020,4,335,Change in product mix or specifications,39.5,11.0,,
2020,4,335,Change in material input,D,D,,
2020,4,335,Other (full capacity: current vs. prior quarter),34.8,10.7,,
2020,4,335,Not profitable to operate at full capacity,2.4,1.4,,
2020,4,335,Insufficient supply of materials,11.4,5.1,,
2020,4,335,Insufficient orders,69.4,8.1,,
2020,4,335,Insufficient supply of labor,18.7,6.8,,
2020,4,335,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,335,Equipment limitations,8.9,4.7,,
2020,4,335,Storage limitations,D,D,,
2020,4,335,Logistics/transportation constraints,11.1,5.3,,
2020,4,335,Sufficient inventory of finished goods,10.2,5.5,,
2020,4,335,Strike or work stoppage,0.0,0.0,,
2020,4,335,Seasonal operations,D,D,,
2020,4,335,Environmental restrictions,0.0,0.0,,
2020,4,335,Other (actual production less than full production),18.0,6.6,,
2020,4,336,Building capital expenditures,D,D,,
2020,4,336,Machinery capital expenditures,4.7,3.4,,
2020,4,336,Building retirements,D,D,,
2020,4,336,Machinery retirements,D,D,,
2020,4,336,"Price changed, product mix same",3.8,3.4,,
2020,4,336,Revised estimation assumptions,12.9,5.7,,
2020,4,336,Change in method of operation,6.8,4.6,,
2020,4,336,Change in product mix or specifications,30.4,7.8,,
2020,4,336,Change in material input,7.3,4.7,,
2020,4,336,Other (full capacity: current vs. prior quarter),40.5,8.5,,
2020,4,336,Not profitable to operate at full capacity,6.5,3.4,,
2020,4,336,Insufficient supply of materials,20.9,5.8,,
2020,4,336,Insufficient orders,45.3,7.1,,
2020,4,336,Insufficient supply of labor,30.6,6.7,,
2020,4,336,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,336,Equipment limitations,6.6,3.2,,
2020,4,336,Storage limitations,7.6,3.7,,
2020,4,336,Logistics/transportation constraints,5.7,3.3,,
2020,4,336,Sufficient inventory of finished goods,1.8,1.2,,
2020,4,336,Strike or work stoppage,0.0,0.0,,
2020,4,336,Seasonal operations,0.7,0.4,,
2020,4,336,Environmental restrictions,0.0,0.0,,
2020,4,336,Other (actual production less than full production),33.4,6.9,,
2020,4,337,Building capital expenditures,D,D,,
2020,4,337,Machinery capital expenditures,8.7,4.3,,
2020,4,337,Building retirements,D,D,,
2020,4,337,Machinery retirements,D,D,,
2020,4,337,"Price changed, product mix same",8.1,4.3,,
2020,4,337,Revised estimation assumptions,17.0,5.7,,
2020,4,337,Change in method of operation,9.7,4.4,,
2020,4,337,Change in product mix or specifications,17.0,5.8,,
2020,4,337,Change in material input,D,D,,
2020,4,337,Other (full capacity: current vs. prior quarter),52.4,7.7,,
2020,4,337,Not profitable to operate at full capacity,15.0,5.4,,
2020,4,337,Insufficient supply of materials,23.3,6.6,,
2020,4,337,Insufficient orders,51.0,7.6,,
2020,4,337,Insufficient supply of labor,36.2,7.3,,
2020,4,337,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,337,Equipment limitations,3.2,2.7,,
2020,4,337,Storage limitations,7.2,3.7,,
2020,4,337,Logistics/transportation constraints,1.8,0.9,,
2020,4,337,Sufficient inventory of finished goods,D,D,,
2020,4,337,Strike or work stoppage,0.0,0.0,,
2020,4,337,Seasonal operations,3.5,2.7,,
2020,4,337,Environmental restrictions,D,D,,
2020,4,337,Other (actual production less than full production),22.9,6.3,,
2020,4,339,Building capital expenditures,7.4,4.3,,
2020,4,339,Machinery capital expenditures,12.2,5.7,,
2020,4,339,Building retirements,0.0,0.0,,
2020,4,339,Machinery retirements,0.0,0.0,,
2020,4,339,"Price changed, product mix same",12.0,5.7,,
2020,4,339,Revised estimation assumptions,17.4,6.3,,
2020,4,339,Change in method of operation,9.7,5.0,,
2020,4,339,Change in product mix or specifications,13.5,5.0,,
2020,4,339,Change in material input,D,D,,
2020,4,339,Other (full capacity: current vs. prior quarter),46.3,8.3,,
2020,4,339,Not profitable to operate at full capacity,11.0,4.2,,
2020,4,339,Insufficient supply of materials,12.7,4.5,,
2020,4,339,Insufficient orders,63.9,6.5,,
2020,4,339,Insufficient supply of labor,15.0,4.7,,
2020,4,339,Lack of sufficient fuel or energy,0.0,0.0,,
2020,4,339,Equipment limitations,D,D,,
2020,4,339,Storage limitations,8.0,3.8,,
2020,4,339,Logistics/transportation constraints,6.5,3.3,,
2020,4,339,Sufficient inventory of finished goods,5.7,2.8,,
2020,4,339,Strike or work stoppage,0.0,0.0,,
2020,4,339,Seasonal operations,7.5,3.5,,
2020,4,339,Environmental restrictions,0.0,0.0,,
2020,4,339,Other (actual production less than full production),37.8,6.5,,
2020,3,All,Building capital expenditures,3.3,0.6,3.29,3.31
2020,3,All,Machinery capital expenditures,8.4,1.0,8.39,8.41
2020,3,All,Building retirements,0.2,0.2,0.20,0.20
2020,3,All,Machinery retirements,2.2,0.5,2.19,2.21
2020,3,All,"Price changed, product mix same",12.2,1.1,12.19,12.21
2020,3,All,Revised estimation assumptions,15.2,1.3,15.18,15.22
2020,3,All,Change in method of operation,5.3,0.8,5.29,5.31
2020,3,All,Change in product mix or specifications,24.0,1.5,23.98,24.02
2020,3,All,Change in material input,6.2,0.9,6.19,6.21
2020,3,All,Other (full capacity: current vs. prior quarter),45.7,1.8,45.68,45.72
2020,3,All,Not profitable to operate at full capacity,8.2,0.8,8.19,8.21
2020,3,All,Insufficient supply of materials,11.0,0.9,10.99,11.01
2020,3,All,Insufficient orders,68.2,1.4,68.18,68.22
2020,3,All,Insufficient supply of labor,18.6,1.1,18.59,18.61
2020,3,All,Lack of sufficient fuel or energy,0.2,0.1,0.20,0.20
2020,3,All,Equipment limitations,6.2,0.7,6.19,6.21
2020,3,All,Storage limitations,3.4,0.5,3.39,3.41
2020,3,All,Logistics/transportation constraints,3.4,0.5,3.39,3.41
2020,3,All,Sufficient inventory of finished goods,4.9,0.6,4.89,4.91
2020,3,All,Strike or work stoppage,0.5,0.2,0.50,0.50
2020,3,All,Seasonal operations,4.6,0.6,4.59,4.61
2020,3,All,Environmental restrictions,1.3,0.3,1.30,1.30
2020,3,All,Other (actual production less than full production),29.8,1.4,29.78,29.82
2020,3,311,Building capital expenditures,4.7,2.6,,
2020,3,311,Machinery capital expenditures,5.5,2.6,,
2020,3,311,Building retirements,0.0,0.0,,
2020,3,311,Machinery retirements,D,D,,
2020,3,311,"Price changed, product mix same",18.6,4.3,,
2020,3,311,Revised estimation assumptions,14.2,4.1,,
2020,3,311,Change in method of operation,3.2,2.1,,
2020,3,311,Change in product mix or specifications,32.0,5.0,,
2020,3,311,Change in material input,6.3,2.7,,
2020,3,311,Other (full capacity: current vs. prior quarter),46.2,5.5,,
2020,3,311,Not profitable to operate at full capacity,7.4,2.5,,
2020,3,311,Insufficient supply of materials,13.7,3.6,,
2020,3,311,Insufficient orders,55.1,4.9,,
2020,3,311,Insufficient supply of labor,18.7,3.9,,
2020,3,311,Lack of sufficient fuel or energy,D,D,,
2020,3,311,Equipment limitations,11.1,3.2,,
2020,3,311,Storage limitations,8.9,2.9,,
2020,3,311,Logistics/transportation constraints,5.8,2.2,,
2020,3,311,Sufficient inventory of finished goods,3.7,1.7,,
2020,3,311,Strike or work stoppage,0.0,0.0,,
2020,3,311,Seasonal operations,8.1,2.6,,
2020,3,311,Environmental restrictions,2.7,1.7,,
2020,3,311,Other (actual production less than full production),38.3,4.9,,
2020,3,312,Building capital expenditures,D,D,,
2020,3,312,Machinery capital expenditures,5.4,4.8,,
2020,3,312,Building retirements,0.0,0.0,,
2020,3,312,Machinery retirements,D,D,,
2020,3,312,"Price changed, product mix same",9.7,6.6,,
2020,3,312,Revised estimation assumptions,16.9,7.8,,
2020,3,312,Change in method of operation,14.3,7.9,,
2020,3,312,Change in product mix or specifications,44.2,10.8,,
2020,3,312,Change in material input,D,D,,
2020,3,312,Other (full capacity: current vs. prior quarter),20.9,8.9,,
2020,3,312,Not profitable to operate at full capacity,8.6,4.2,,
2020,3,312,Insufficient supply of materials,16.1,5.6,,
2020,3,312,Insufficient orders,64.1,7.3,,
2020,3,312,Insufficient supply of labor,5.0,3.4,,
2020,3,312,Lack of sufficient fuel or energy,0.0,0.0,,
2020,3,312,Equipment limitations,5.1,3.2,,
2020,3,312,Storage limitations,D,D,,
2020,3,312,Logistics/transportation constraints,3.2,2.5,,
2020,3,312,Sufficient inventory of finished goods,14.2,5.3,,
2020,3,312,Strike or work stoppage,D,D,,
2020,3,312,Seasonal operations,14.8,5.5,,
2020,3,312,Environmental restrictions,D,D,,
2020,3,312,Other (actual production less than full production),31.7,7.2,,
2020,3,313,Building capital expenditures,0.0,0.0,,
2020,3,313,Machinery capital expenditures,17.7,12.8,,
2020,3,313,Building retirements,0.0,0.0,,
2020,3,313,Machinery retirements,0.0,0.0,,
2020,3,313,"Price changed, product mix same",29.4,19.7,,
2020,3,313,Revised estimation assumptions,2.4,1.5,,
2020,3,313,Change in method of operation,D,D,,
2020,3,313,Change in product mix or specifications,23.3,11.2,,
2020,3,313,Change in material input,D,D,,
2020,3,313,Other (full capacity: current vs. prior quarter),56.7,18.8,,
2020,3,313,Not profitable to operate at full capacity,D,D,,
2020,3,313,Insufficient supply of materials,D,D,,
2020,3,313,Insufficient orders,63.9,13.3,,
2020,3,313,Insufficient supply of labor,24.4,12.8,,
2020,3,313,Lack of sufficient fuel or energy,0.0,0.0,,
2020,3,313,Equipment limitations,3.5,2.1,,
2020,3,313,Storage limitations,D,D,,
2020,3,313,Logistics/transportation constraints,D,D,,
2020,3,313,Sufficient inventory of finished goods,D,D,,
2020,3,313,Strike or work stoppage,0.0,0.0,,
2020,3,313,Seasonal operations,0.0,0.0,,
2020,3,313,Environmental restrictions,0.0,0.0,,
2020,3,313,Other (actual production less than full production),42.7,13.8,,
2020,3,314,Building capital expenditures,0.0,0.0,,
2020,3,314,Machinery capital expenditures,0.0,0.0,,
2020,3,314,Building retirements,0.0,0.0,,
2020,3,314,Machinery retirements,D,D,,
2020,3,314,"Price changed, product mix same",D,D,,
2020,3,314,Revised estimation assumptions,D,D,,
2020,3,314,Change in method of operation,0.0,0.0,,
2020,3,314,Change in product mix or specifications,5.2,3.6,,
2020,3,314,Change in material input,D,D,,
2020,3,314,Other (full capacity: current vs. prior quarter),78.9,13.6,,
2020,3,314,Not profitable to operate at full capacity,D,D,,
2020,3,314,Insufficient supply of materials,D,D,,
2020,3,314,Insufficient orders,56.9,15.4,,
2020,3,314,Insufficient supply of labor,38.8,15.5,,
2020,3,314,Lack of sufficient fuel or energy,0.0,0.0,,
2020,3,314,Equipment limitations,0.0,0.0,,
2020,3,314,Storage limitations,0.0,0.0,,
2020,3,314,Logistics/transportation constraints,D,D,,
2020,3,314,Sufficient inventory of finished goods,D,D,,
